番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
11,おすすめしない,11,"明らかな詐欺です
今後もアップデートは期待できないでしょうし、１００円で投げ売りされていても買う価値がありません",negative,詐欺,その他,ゲームの内容が詐欺だと表現しているため。
12,おすすめしない,106,"前作はPCの性能不足で出来ませんでした。
しかし面白そうだったのでPCを新調したらやりたいと思ってました。
そしてPCを新調した直後2が（アーリーアクセスとはいえ）すぐに発売！当然ですが私は飛びつきました。
色々おかしい挙動がいくつかありましたが当時出来る範囲でやれることをやり製品版を2年待ってました。
出来ればきっと面白いだろうなぁ…と。
久しぶりにやろうと思いゲームをプレイしたら殆ど当時と変わらず。
なんかおかしいと思いレビューを見たら圧倒的不評。なんだこれは。
調べたらどうやら開発チームが解散したらしくゲームの完成は事実上永遠にないと知りました。
残念です。
アーリーアクセスは完成するであろうゲームをバグ付きだが早めに安く買えるという特典だと思っていましたが
どうやらこの認識は改めなければいけないようです。
せめて未完なら未完で安く売っているのならおススメできるのですが…",negative,開発チーム解散,外部要因・映画化,開発チームが解散したため、ゲームの完成は事実上永遠にないと知ったためです。
13,おすすめしない,0,"正直期待外れ。
ちゃんとした銀河と言えるレベルの宇宙を期待していたら、微妙。
新しい追加パーツが多いわけでもなく、これなら
KSP1でReal ExoplanetsとかNearFuture系のModとか入れたほうが楽しい。
あとめちゃくちゃゲームが重い。
トラッキングステーションとレビュー見て辞めた
1とは比較にならないほど重い",negative,ボリューム不足,ボリューム・価格,KSP1のModの方が楽しいと述べているため。
14,おすすめ,42,"楽しいです。
このゲームは、KSPの新しいバージョンです。",positive,KSPの新しいバージョン,その他,「KSPの新しいバージョン」と述べているため。
15,おすすめしない,179,"アプデでもっと面白くなると思いきや…

発売当初に購入したものです。
端的に面白いところ、ゴミなところからいきます。

面白いところ
・自分好みに宇宙ロケット、飛行機、車などが作れる
・物理演算ゲーなのでうまく飛ばすために工夫が必要で完璧を求めると１，２時間簡単に飛ぶぐらい楽しめる
・乗り物を複数世界に配置、操作できる
・一つのクリエイト物に複数乗り物をつけることができ、切り離したり、操作できる（ロケットにロケットをつけたり飛行機に小さい飛行機をつけたりなど）
・なぜ飛ばないのか、なぜ速度が出ないのか、自分で考え改善し、きれいに動いたときの満足感

ゴミなところ
・アプデの更新の可能性が絶望
・頻繁におこる読み込み中のエラーによるゲーム落ち
・機体を読み込みをしたら、謎の部品がついてきたり、同じ機体が重なっている場合がある
・SFチックな宇宙船、飛行機などは基本宇宙に飛ばしても舵がとれない
・飛行中の各部装置の操作のしずらさ
・操縦視点がない（視点の位置をずらせばできなくもないが期待している操縦者視点にはならない）
・かっこいい飛行機が作れたと思ったら飛行中、上下にぶれまくって速度が出ず、概観美を損う（なにかしら物理演算とかみ合わないため）
・燃料を無限モードにしているのに、宇宙での倍速モードが燃料が不足するためできませんと言われ中断される
・倍速モードから通常速度に戻せなくなるバグ

自分はこのマイナスな部分があまり気にせず楽しめたので（あきらめ）できましたが、
おすすめできるかと言われると、できませんね。
とくにゲーム落ちやバグ関係が多く、機体で遊ぶ程度の人ならまだしも本格的にゲームをやる方などには大きなストレスになります。

バグやゲーム落ちは私のパソコンの性能や相性の可能性もありますが、なることを一応覚悟して購入してください。
ちなみに１も持っていますが確実に１のほうがクオリティがたかいのでそちらを購入したほうがいいです。",negative,バグ,ゲームシステム,頻繁におこる読み込み中のエラーによるゲーム落ちや、機体を読み込んだ際に謎の部品がついてきたり、同じ機体が重なっている場合があるなどのバグが多いため。
16,おすすめしない,66,"グラフィックがいいっていうよりただ解像度が高いだけ。
固体燃料ロケットの噴煙とかRCSの噴射エフェクトとかなんか変。そういうところは1のほうが頑張ってた。
当初予定していたロードマップの半分もできていないのに開発が頓挫して製品版のリリースは絶望的。
未完成品をフルプライスで売ったのにね。
返金しないのかな。

派手な蛍光塗料付きの見えてる地雷です。わざわざ踏みに行かないでね。
持ってないなら1がおすすめ。グラフィックは前時代的だけど面白いよ。",negative,未完成品,ボリューム・価格,製品版のリリースが絶望的で、当初予定ロードマップの半分もできていないのにフルプライスで売られているため。
17,おすすめしない,17,開発中止されたゲームなので、購入するなら前作がオススメです。,negative,開発中止,外部要因・映画化,開発中止という事実が購入を推奨しない理由となっているため。
18,おすすめしない,22,"事実上の売り逃げです。
絶対に購入しないでください。",negative,売り逃げ,外部要因・映画化,「絶対に購入しないでください」という強い警告から、ゲームそのものに対するネガティブな評価であると判断したため。
19,おすすめ,212,,neutral,データなし,その他,レビュー本文が空です。
20,おすすめしない,3,"買わない方がいいよ。

開発元がほぼ解散状態でいつアーリーアクセスかわからないこれ買うより、完成している初代買って遊んだほうがマシ。",negative,アーリーアクセス,ボリューム・価格,開発元が解散状態でありアーリーアクセスの期間が不明なため、完成度が低い可能性が高いと指摘している。
21,おすすめ,229,,neutral,データなし,その他,レビュー本文が空です。
22,おすすめしない,89,"ストレスが溜まる操作感
もうちょっとどうにかしてほしいですね
面白くわないです",negative,操作感,ゲームシステム,ストレスが溜まる操作感が面白くないと感じているため。
23,おすすめ,779,"みんな批判気味だけど僕は結構好き。このゲームは要素が多いから多分酷評している人達はゲーム初めて数時間だと思う。150時間もやればなんとなくわかってくるはず。グラフィックがとてもきれいで気に入ってる。
　ただ、唯一の懸念点はゲームの処理が重い点。RTX3060をいまだに使ってるけど、fpsがめっちゃ低い。パーツが多いと特に。墜落時は一番ひどい。
　このゲームを始める人は始めは熱無視、燃料と電力の無限設定のクリエイティブモードがおすすめ。ぶっちゃけ何でも作れる。",positive,要素の多さ,その他,ゲームに多くの要素があり、時間をかけてプレイすることで理解できるためである。
24,おすすめしない,26,"ゲームシステムや方向性はかなり良いのですが、開発が完全に沈黙（閉鎖）しており未完成のままです。
IPを別会社が購入したとの話も出ていますが、今のところ再開のお知らせ等何も出ていないので不透明です。
それでいてフルプライスでいまだに販売を続けているところも見ると、圧倒的不評であることも頷けます。
とにかく、今は買わないほうが吉です。",negative,開発の沈黙,外部要因・映画化,開発が完全に沈黙しており未完成のまま販売を続けているため、ユーザーからの不満が大きい。
25,おすすめしない,8,"機体の組み立ては出来るが発射台もしくは滑走路に移動するとゲームがクラッシュして遊べない
修正パッチすら出さず7000円近い値段で売り続けてる行為には正気を疑う

２の作成が発表された時から楽しみにして待っていただけにとても残念",negative,修正パッチ,ボリューム・価格,高額な値段で販売されているにもかかわらず、ゲームのクラッシュ問題を解決するパッチがリリースされていないため。
26,おすすめしない,0,開発終了したゴミ,negative,開発終了,外部要因・映画化,ゲームが開発終了しているという事実がネガティブな感情を引き起こしているため。
27,おすすめしない,2,"2024年11月の時点で開発元は閉鎖、パブリッシャーは親会社であるTake-Twoから他社に権利と共に売却されました。
KSP2がどうなるか(他社で開発継続or開発中止)は現時点では不明です。
現時点ではとてもおすすめ出来るものではないです。
KSP1の方を持ってないならそちらを買うことをお勧めいたします。",negative,開発元閉鎖,外部要因・映画化,開発元の閉鎖と権利売却により、今後のゲームの継続性が見えないため。
28,おすすめしない,24,開発スタジオが閉鎖されました、返金して欲しいです。,negative,返金希望,外部要因・映画化,開発スタジオの閉鎖により返金を求めているため。
29,おすすめしない,6,"グラフィックに力を入れすぎてめちゃくちゃ重くてまともにゲームができない
軽量パックに期待する",negative,グラフィック,演出・グラフィック,グラフィックの重さがゲームプレイを阻害しているため。
30,おすすめしない,58,ロケットのようにゲーム開発も空中分解することを7000円払って学べました。,negative,ボリューム不足,ボリューム・価格,7000円でボリュームが不足していることを皮肉った表現であるため。
31,おすすめしない,21,いやー、KSP1には本当にお世話になりました！で、次のKSP2なんですけど、ビジュアルもヤバいし、恒星間航行とか夢が広がるじゃないですか。でもアップデートが全然進まなくて、不完全なままなんですよね。アーリーアクセスだから仕方ないけど、開発もゴタゴタしてるみたいで、まだ時間がかかりそうかなーって思ってます。,negative,アップデート不足,ボリューム・価格,アーリーアクセスであるにも関わらず、アップデートが進んでおらず不完全な状態であるため。
32,おすすめしない,10,これを買うくらいならお菓子を食べたりファミレスとかでお腹を満たしたほうが幸せだよ・・・２時間以上遊んじゃだめだよ、自分みたいに返金できないから・・・,negative,ボリューム不足,ボリューム・価格,ゲーム時間が短く、その分のお金を無駄にしたと感じているため。
33,おすすめ,40,"値段にコンテンツの量が見合ってるかと言われれば微妙なんですがプレイして楽しかったのでおすすめを付けさせていただきます

[spoiler] お気持ち表明のレビューが大量に投稿されていますがSteamの「早期アクセスゲーム」の項にあるように「この早期アクセスゲームは不完全であり、これから変わることも、変わらないこともありえます。」これに尽きます。
アーリーアクセス中のゲームが開発中止になるなどということは何ら不思議なことではありません。不完全なゲームを購入することはお布施、お賽銭をするようなものでなにかを大きく期待することは的外れでありましょう。たかが7、８千円のゲームです。この値段で夢を見れたことを考えれば値段以上の価値はあるのではないでしょうか。 [/spoiler]",positive,プレイして楽しかった,その他,レビュー者はゲームをプレイして楽しんだため、おすすめと評価している。
34,おすすめしない,47,悲しみ,negative,ボリューム不足,ボリューム・価格,短いゲーム内容に不満を述べているため。
35,おすすめしない,10,"私のこの評価はKSPおよび本作に関わってきたゲーム開発者たちに向けたものではない。素晴らしい業績を残したKSPのIPを買収した挙句、その未来を背負ったIntercept Gamesを潰したパブリッシャーの親会社であるTake-Two Interactiveに対してである。

これまで開発者たちが費やしてきた時間や努力や情熱、そして私を含むユーザーたちのこれまでのアーリーアクセスに対する投資や本作に抱いていた希望や期待はどうなるのだ？

本作はただのゲームではない。KSPは宇宙開発に携わる一部エンジニアにも評価されており、NASAやESAとのコラボ実現、一部海外の教育機関でロケット工学や物理学の教材(STEM教育)にも採用されるなど、あらゆるユーザーを巻き込んで宇宙開発の楽しさや難しさ、宇宙探索の素晴らしさなどを教えてくれる可能性を多く秘めていたのだ。

その続編をゴミ屑にしないでもらいたい。",negative,パブリッシャーの行動,外部要因・映画化,開発者やユーザーへの配慮が欠如しているパブリッシャーの行動を批判しているため。
36,おすすめしない,31,このゲームが復活してくれれば良いな,neutral,復活希望,その他,ゲームに対する感想ではなく、復活を願っているため。
37,おすすめしない,4,"母体の開発チームがほぼ解散状態。
バグも多く最適化もされてない状態で更新が望めない状態。

絶対買うなー！",negative,バグ,ゲームシステム,バグが多く、最適化もされていないため、ゲームプレイに支障がある。
38,おすすめしない,41,始めた当初は、グラフィックや新しいパーツなどに楽しめましたが、やっていくうちにバグの多さにストレスが溜まりまともにプレイすることはできません。買うのはやめといたほうがいい！,negative,バグ,ゲームシステム,バグの多さによりプレイに支障があるため。
39,おすすめしない,15,"2024/07/26現在公式フォーラムも不安定で今後の情報も無し開発は全く期待できません。
PV詐欺と呼ぶにふさわしい詐欺ゲームです。
購入した方は返金もされず騙されたと言い切っても良いと思います。
絶対に購入してはいけません。
どうしても遊んでみたい方は前作にMODを入れて遊んだほうが圧倒的に楽しいです。",negative,PV詐欺,外部要因・映画化,開発の不安定さや情報不足、そして公式PVとゲーム内容のギャップから、購入者に裏切られたと感じているため。
40,おすすめしない,0,クソッタレのマイクロソフトのせいでこのゲームの未来は絶たれた。不完全なゴミを買いたいもの好きなら買えばいいが、それ以外は完成された初代KSPにしておけ。,negative,不完全なゴミ,ボリューム・価格,ゲームの完成度を「不完全なゴミ」と表現し、購入を推奨していないため。
41,おすすめしない,1,未完成のまま開発終了するのがほぼ確定したので絶対買わないように,negative,開発終了,外部要因・映画化,開発が中止される可能性が高いという情報から、購入を控える意向を示しているため。
42,おすすめしない,66,"開発元閉鎖したらしい。
アーリーにしては値段高いとは思ってたけど、まさか売り逃げするつもりだったとはね。",negative,売り逃げ,外部要因・映画化,開発元が閉鎖し、早期アクセス価格で高額販売していたことを「売り逃げ」と批判しているため。
43,おすすめしない,4,開発元がつぶされたってマジ？？？,negative,開発元潰れた,外部要因・映画化,開発元の破綻を嘆いているため。
44,おすすめしない,3,能力がないし金も返たくないならオープンソースしてよこのクソ会社,negative,クソ会社,外部要因・映画化,ゲームに対する不満ではなく、開発会社の評価がネガティブであるため。
45,おすすめしない,2,現状バグが多くアーリーアクセスとはいえほとんど遊べない状態です。しかも開発が解散してしまい今後アプデは行われず、このゲームは放棄される可能性が高いので買ってはなりません。どうしても遊びたいならKSP1を買いましょう。,negative,バグ,ゲームシステム,多くのバグにより遊べない状態であるため。
46,おすすめしない,47,"KSP1からプレイしています。ほかの方も言っていますが、このKSP2、アーリーアクセスとはいえとにかくバグが多い。
そして検証する以前に開発中止になってしまいました。現状では買うのは待って様子見するかKSP1を購入した方が良い作品でしょう。多くの反応があったからか、何らかの形で開発は続けると声明が出ていましたが、果たしてどこまで信頼できるやら...",negative,バグが多い,ゲームシステム,レビューではKSP2のバグの多さが問題視されているため。
47,おすすめしない,25,"2024/05/09
バグが酷くて現状普通に遊ぶことすら不可能なレベルです
システムやグラフィックはいいので改善を待ちたいところです

開発中止の危機にあるとかでバグ修正や当初予定内容の実装もなしになりそうでとてもオススメできない状態になりました",negative,バグ,ゲームシステム,バグが酷すぎて遊べないため。
48,おすすめしない,5,"次のパッチで最後かな？
さようならKSP2、さようならIntercept Games
夢は大きかったね",negative,開発元,外部要因・映画化,開発元の Intercept Games に対する失望感が強い。 
49,おすすめしない,7,"今買うのはやめておきましょう
ゲームの開発が放棄される可能性が高いですし、modが豊富なKSP1のほうが遊べます",negative,開発放棄,外部要因・映画化,開発が放棄される可能性が高いという懸念からネガティブな感情を抱いているため。
50,おすすめしない,6,"開発している会社（Intercept Games）が潰（さ）れたようです
大本Take-Two Interactiveは開発は何かしらで継続すると言われていますが
この様子では期待できるのかどうか・・・

当初、結構待つことは想定していましたが、開発が進まない可能性もかなりあるので
今買うことは100％お勧めできません",negative,開発の進捗,外部要因・映画化,開発会社の潰滅と開発継続の可能性が不透明なため、購入をお勧めできないという意見である。
51,おすすめしない,60,"良い点
・グラフィックが美麗
・起動はKSP1より速いように思う
・操作はKSP1に比べれば多少わかりやすい
駄目な点
・ロケット建造中は視点が一点の高さで固定されるため、視点の上下移動が出来ない
・ΔVの計算(評価)が不可解
・ドッキングモードが非常に分かりづらい上に、ドッキングモードなのかどうかすらわからない
・前触れもメッセージもなく、突然終了する
・KSP1に引き続いて、パーツが振動しやすい

総評
・プレイヤーが精神的苦痛を強いられる傾向にあるのは、良くない
・販売開始から1年経っても安定性に問題を抱えているので、KSP1を未プレイであるユーザーが新規購入するのはお勧めしない",negative,精神的苦痛,その他,レビューではゲームの安定性問題や操作性の難しさからプレイヤーに精神的な苦痛を与える傾向があると指摘しているため。
52,おすすめしない,2,少なくとも現時点ではKSP1の方が良いゲームだ。,negative,KSP1,外部要因・映画化,他のゲームと比較して劣っていると述べているため。
53,おすすめ,17,人工衛星の軌道が、近日点などが表示されず、変だったが、おおむね楽しめた。,neutral,軌道表示,ゲームシステム,軌道表示の不具合があったため。
54,おすすめ,29,"拡張性が高く比較的能褒野美と遊べる作品です。
直感的に操作できるためとても楽しく遊べます。
これからまだまだアップデートがあるそうなので今後にも期待できます。",positive,直感的な操作,ゲームシステム,直感的に操作できるためとても楽しく遊べるという記述から。
55,おすすめ,24,"サイエンスモードが追加されてひたすら飛ばすのですが、ムンへ行く時のマニューバが正しく作動しなかったり、フリーズしたりしておりますが、ひたすら緑たちを宇宙へ飛ばしてます。
だって緑たちは飛びたくてしかたがなさそうだったので、早いかなぁと思いつつもＥＡ版で購入決定。
マニューバがうまく作動しなかったり、ムンへ到着でむずかったり、いろいろですよ。
お布施だと思って購入しました。今のところサイエンスモードであそんでいますが、バグだらけだけども、緑たちの空への想いを乗せて、ぶっ放しております。マニューバが作動しなかったら、ムンへの着陸むずいですね…どーしましょ。うまく飛べたら嬉しいものですよ。",positive,サイエンスモード,ゲームシステム,バグだらけでも、サイエンスモードで緑たちを宇宙へ飛ばす楽しさを味わえているため。
56,おすすめしない,22,"サイエンスが追加されたようなので購入してみましたが
マップでのカメラ操作が劣悪、時間停止した際にマニューバが操作できないなどまだ買わない方が良いです。",negative,マップ操作,ゲームシステム,マップでのカメラ操作や時間停止時の操作性が劣悪であるため。
57,おすすめ,0,開けません,negative,開けません,その他,ゲームが起動しないためです。
58,おすすめ,16,fun!,positive,fun,その他,「fun」という表現から、ゲームを楽しくプレイできたことを示唆しているため。
59,おすすめ,56,For Scienceアップデート前はバグが多く機能が少なかったですが、For Scienceアップデート後には大幅に機能が追加されて、バグも少なくなった気がします。ですがまだ機能はそこまで多くないと思うので今後のアップデートに期待です。,positive,アップデート,その他,アップデートによりゲームが改善されたと述べているため。
60,おすすめ,73,"先日2023年12月20日のアップデートでサイエンスモードがついに実装されて各惑星に出向く意義が生まれた。
普通に探索する以外でもミッション形式で衛星の打ち上げや指定された場所のポイントの探索を行って報酬としてサイエンスポイントを貰えるから、旧キャリアモードも含んでいる感じ。
ヤバいバグもだいぶ減ったからやっと遊べるようになった。(まだ結構バグの頻度は高いけど)
ついでに断熱圧縮も実装されたぞ！緑くんにポカポカしてもらおう！

2024年追記
開発会社が爆発四散しました
R.I.P.",positive,サイエンスモードの実装,ゲームシステム,アップデートで追加されたサイエンスモードにより、探索以外のやり込み要素が生まれたため。
61,おすすめしない,21,"このゲームは開発途中の早期アクセスタイトルですが開発しているチームも人員もどこかへ行ってしまったようです。
データベース上の開発者用リポジトリも更新が止まっており誰も何もしていない可能性が高いです。
前作を上回っているのはグラフィックと翼の設置自由度だけです。トレイラーやロードマップ、製品説明にあるような期待の新要素が実装されることはありませんでした。
なお開発チームが親会社から解雇されSNSやアップデートの動きが完全にストップした段階でもまだ販売が継続されています。

結論として今買うのは極めてリスクが高いと言えます。
このタイトルは完成しない可能性が圧倒的に高く、一部情報筋によれば少なくともマルチプレイの実装は既に不可能になっているともあります。
アルファ版程度の出来でもいいからとにかくやってみたい、起動さえしなくたって構わないんだというくらいの強い思いを持った方以外は絶対に購入してはいけません。
そんな人は既に購入してしまっているでしょうけども。",negative,期待の新要素の未実装,外部要因・映画化,開発チームが解散し、ロードマップに記載されていた新要素は実装されなかったため。
62,おすすめ,37,"KSP1は約100時間、KSP2は数時間遊んだ程度の感想とはなりますが

いい点
・グラも音もかなり進化していて描画の細さも上がっておりKSP1のチープさがかなり緩和されている
・ショートカットキー等がそのままなのはかなり良いと思います
・機体パーツモーフィングも加わって機体の自由度がかなり上がってる

悪い点
・VABのデザインも改善されたが、アイコンが大きくパーツジャンルが頭に入ってないのもあって少し使いにくい
・数時間程度遊んだだけでも複数個遭遇したバグはあるのでゲームとして純粋にゲームを楽しみたい人にはちょっとオススメしにくいかも

総評
KSPの改善点を的確に捉えた正当進化続編
ただ、バグも多くゲームファン向けというよりKSPファン向けの範囲はまだ完全には抜けてない印象。
ただアーリーアクセスなのを踏まえるとこの先のアップデートで改善も大いに期待できるかなと思います。",neutral,バグ,ゲームシステム,レビューではバグの発生頻度が挙げられており、純粋にゲームを楽しみたい人にはオススメしにくいと述べられているため。
63,おすすめしない,46,"悪いことは言わない、宇宙開発がしたいならこれじゃなくてKSP1を買え。
あっちのほうがmodとかが多いからいろいろできる。
例えば、ライフサポートmodをいれて難易度を上げたり、BDamoryというmodをいれて自作の戦闘機を飛ばして戦ったり、惑星を追加することさえできる。
KSP2はグラフィック以外KSP1の劣化版だ。
さらにグラフィックを改善するmodがKSP1にあるからKSP2の良いところはない。
絶対に買うな。",negative,KSP1との比較,その他,KSP1の方がMODの豊富さやカスタマイズ性があり、KSP2は劣化版だと述べているため。
64,おすすめ,17,アップデート待ち,negative,アップデート待ち,ボリューム・価格,アップデートを待っている状態であるため、現状ではゲーム内容に満足していないと推測できる。
65,おすすめ,22,"発売を心待ちにしている間、様々なトレイラーが公開されていましたが、どれも開発者がべらべらと喋るかムービーばかりでプレイ映像などがほぼ無いので、嫌な予感はしていました。お布施として購入しましたが、発売からしばらくたった今なおやる気が起きないですね。
もっとアップデートの頻度を上げられないだろうか。

_____________________________________

追記：サイエンスモード追加後

サイエンスモードが追加されたのでプレイしてみました。
無印KSPと比べるとUIがごちゃっとしていたり戸惑う部分もありましたが、やっと少しは遊べる内容になったと感じています。
サイエンスツリーは無印と比べて、Mun往還前後が目標となる低階層からドッキングポート開放が解放され、序盤から出来ることが増えていて個人的に好印象です。
ロケット組み立て時の⊿VやTWR等のステータスを、行き先に合わせて各ステージ毎に確認できるようになっているのも便利です。
まだまだコンテンツが足りない部分もありますが、劣化KSPではなくKSP""2""の色が見え始めたので評価をGoodに変更しました。",positive,サイエンスモード追加,ゲームシステム,サイエンスモードの追加により、プレイできる内容が増えたため。
66,おすすめしない,35,"グラフィックだけ良くなってKSP1の初期に逆戻りした感じ。
開発中止にならないことを祈っています。",negative,グラフィック,演出・グラフィック,グラフィックだけが良くなった点を指摘し、KSP1初期と比較してネガティブな印象を持っているため。
67,おすすめ,95,"最新のパッチで[b]「ドッキング相手が消滅するバグ」[/b]が誕生しました
作ってた宇宙ステーション返して (ꐦ`•ω•´)",negative,バグ,ゲームシステム,ドッキング相手が消滅するバグが発生したため。
68,おすすめしない,43,"絶対に今買わないで！！！！！！！
アップデートの頻度が遅すぎてキレました！！！！！！！
アーリーアクセスだから仕方ないと言ったらそれまでですが！それにしては高すぎる！！！！
これよりも高いとしたら製品版は一体いくらになるんでしょう？？？
現時点での妥当な値段は2000円ほどだと思います、無印の下位互換となっているので大人しく後5年ぐらいは初代で遊びましょう",negative,アップデートの頻度,ボリューム・価格,アップデートの頻度の遅さと高すぎる値段を指摘しているため。
69,おすすめしない,3,"結論を最初に書くと、ゲームの基本的な部分の不具合が多すぎる。(Too many bugs)
前作無印からのプレイヤーです。確かにまだアーリーアクセスの段階であり、また、2の良い部分は実際ありますが、それ以外の基本的な部分でバグが多く、通常のプレイすらも危ういです。
ロケット組み立て中にフリーズからの強制終了、マニューバノードが全くいじれない、パーツ破壊をオフにしていても何故か爆発する等の現象が起き、事前情報で不具合の多さは知っていましたがプレイ継続がきついです。
新しい機能を実装する前に、まずは不具合を潰して安定して遊べるようにして欲しいです。

◯おすすめな人
・開発支援でデバッグ代を出したい人
・動画投稿等で不具合でもネタにできる人

◯おすすめできない人
・普通にプレイしたく、不具合に耐えられない人

◯良い所
・グラが綺麗
・無意味な発射カウントダウン
・発射場が複数選べる",negative,バグの多さ,ゲームシステム,レビューでは、ロケット組み立て中のフリーズやマニューバノード操作不能など、多くのバグが挙げられており、プレイ継続が困難であると述べているため。
70,おすすめしない,9,アーリーとはいえ不具合が多すぎます。前作で出来ていたことがまるで出来ていない。宇宙船の挙動がおかしい(突然爆発四散して作用圏外までとんでくことがある)どころか数字が嘘をついたり(画面が切り替わるとΔVが変動したり)します。グラフィックは綺麗だけど、ほんとに褒められる点がそれくらいしかない。コンテンツ量が少ないとかじゃなくて根幹たる宇宙開発そのものが満足にできませんね。やたらと意識だけは高い開発にお布施するにしても価格設定が強気すぎる。少なくみてもあと３年は様子見すべきかな～,negative,不具合,ゲームシステム,ゲームの根幹である宇宙開発が満足にできないほど不具合が多いから。
71,おすすめしない,7,"Do not buy at all. This game is a TERRIFIC SCAM.

Since December 20, 2023, almost A YEAR AGO, this game has NO UPDATES except for a few minor bug fixes. Almost A HALF YEAR AGO, the last date this game was updated, and since that day, there has been no news about the dev going, the status of the next update or any other things about KSP 2.

In brief, the dev team, Intercept Games, or the publisher, Private Division, had thrown out the development of this game. It would be OK if this game were not a successor to a mega-succeeded title, or if the developers or publishers wouldn't have used the name to promote the game, or even, in the worst case, if they were honest with everyone if they decided to stop developing the game. But they have been disingenuous with anyone (however, I don't know if they have been sincere with their stakeholders, lol).

They have sunk into silence even now, and the store page vigorously promotes the future of this game, once brilliant, but vain for now.",negative,更新の無さ,ボリューム・価格,長期間にわたってゲームのアップデートが無く、開発チームからの情報も一切ないため。
72,おすすめしない,6,"現状少なくとも今はお勧めできません。
理由はUIの操作性が悪い事と開発途中のため不完全であるためです
ビジュアルが良くなっても２なのに初期のKSPのようでは元も子もありませんし
私は今後KSPのように更新で良くなっていくことを期待しています",negative,操作性,ゲームシステム,UIの操作性が悪いとレビューされているため。
73,おすすめしない,49,"期待はしてる。現在はα版に近い。時間をかければいいゲームになると思う。
2024/05 追記
開発元閉鎖がしたので低評価に変えようと思ったが
「Kerbal Space Program 2」については，何らかの形で開発を継続すると，Take-Two Interactive幹部が答えている
とのことなので高評価のまま様子見します
2025/03追記
2024/06を最後にアップデートが来ないため開発終了したようです。。。未完成品で終わるなら低評価せざるを得ません",negative,開発終了,外部要因・映画化,開発元閉鎖とアップデート停止により、ゲームが未完成品で終わる可能性があるため。
74,おすすめ,0,"未経験の場合KSP1を先にプレイすることを勧めます。

将来マルチ対応予定を楽しみにしています。",positive,マルチ対応予定,その他,マルチ対応予定が楽しみであるため。
