番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
11,おすすめ,13,"吉野家で食事するごとにもらえるクーポン3枚集めたら380円割引になりまして、、そんな時このゲームが370円で売っていたので浮いた食費で購入。
他の方のレビューを見てスマホゲームっぽいは言い過ぎだろって思ってたけど、良くも悪くもスマホのダーククエスト5（Dungeon Hunter 5）と同じような感じでした。
データ容量は17GBほどあるのでグラフィックはかなり綺麗です。しかし15分ほどでクリアできるメインミッションが15個しかないので下手すると無料スマホゲームの方が長く遊べる気がします。フルプライスで買った方はほんと怒りを感じただろうなと思います。開発者の方には悪いけど370円は妥当だと思いました。
とにかく吉野家には感謝しきりです。おすすめは豚チーズ丼とごぼうサラダです。",negative,ボリューム不足,ボリューム・価格,メインミッションが短く、無料スマホゲームの方が長く遊べる可能性があるため。
12,おすすめしない,24,"残念ながらハクスラではないです。
しかしながら、緊急回避をして攻撃をうまく避けたり、ガードをして攻撃を受け止めたり。
溜め攻撃で相手の攻撃モーションをキャンセルさせたり。
つかみで敵を投げ飛ばしたり。
アクションゲームとしてはそこそこやり応えはあるように感じます。

しかし「ブロック」スキルを得た後のなんとも言えなさと言えば…。
このスキルは最初は「被ダメージを90%軽減」という効果しかついていないのですが、
レベル制限の開放により「被ダメージの3倍を敵に与える」という効果を付与することができます。
どういうことかと言うと、ボスの攻撃を回復アイテムを使いながらひたすら耐えているだけでボスが死ぬようになります。どうしてこんなむごいことを
使いたくなければ被ダメージ3倍返しの代わりに「ブロックでダメージを受けたときに生成されるエネルギー50%増加」を取ればいいのですけどね。それか回避スキルを使うか…。

1人でやるには少し物足りないですが、coopでわちゃわちゃするには良いゲームではないでしょうか。",positive,アクションのやり応え,ゲームシステム,緊急回避やガード、溜め攻撃など、敵を避けたり攻撃を受け止めたりするアクションがやり応えがあると感じているため。
13,おすすめしない,25,"Sacred2をプレイして楽しみにしてたんですが…酷評の通りRPG要素のあるアクションゲームでした。
せめて、武器だけでも落としてくれるシステムであれば良かったのですが（実際はお金やライフ回復するアイテム等のみ）凹",negative,武器ドロップ,ゲームシステム,武器を落とさないシステムが期待外れだったため。
14,おすすめ,19,X360コントローラーでやったらDIABLOⅡみたいで面白かった。,positive,DIABLOⅡ,ゲームシステム,DIABLOⅡのようなゲームシステムが面白く感じたため。
15,おすすめ,3,"自分はSACREDシリーズは3が初になります。
細かいゲーム内容のレビューは既に他の方が投稿しておりますのでそちらを参考してください。

私はプレイして一番気になった点を書かせていただきます。
それはプレイするにあたってはコントローラーを使用した方がいいということです。

何故ならキーボード＋マウスの操作ですと、攻撃する方向(何らかのアクション全てっぽいです)は
キャラの方向ではなく今置いてあるマウスカーソルの方向になるからです。

実際に私は弓キャラを使用しておりますが、攻撃する方向にマウスカーソルを置いて攻撃していて
敵が突進してきたときに緊急回避したときにマウスカーソルが敵の方向に置いたままだったので
敵に突っ込んでしまうことが何度もありました。

以上のことからプレイする際にはコントローラーでの操作をオススメさせていただきます。

ゲーム自体は非常に面白いと思います。
セールで安くなりますのでフレンドの分まで購入してCOOPをしてみるといいかもです。",positive,ゲームシステム,ゲームシステム,キーボード＋マウス操作での攻撃方向がキャラの方向ではなくカーソルの方向になるため、緊急回避時に敵に突っ込んでしまうことがある。
16,おすすめしない,26,"[h1]個人的には好きだけど、とても他人（ひと）にはオススメ出来ないタイプのゲーム。[/h1]
一通りクリアしてみたが色々となんとも素っ気なく深みがない感じ。
コントローラー対応のハクスラ『R.A.W. Realms of Ancient War』を思い出すプレイ感。
ボードゲームのような地図にメインクエストの要所があり、他に要所と要所の間に回復ポーション等のストックを増やせるサブミッションステージが有る。サブミッションもそんなに広くないステージでWAVE戦とエリア内の敵を殲滅しか無い。面クリタイプのハクスラなのでこじんまりした印象があり、合わない人には合わないかも。良く言えば作業的に進めれば必ずクリアは出来る。
一応の前作『セイクリッド2』の続きではなく、後に出たベルトスクロールアクションのスピンオフ 『セイクリッドCitadel』の世界観を引き継いでいる感じ。
ハクスラゲーの醍醐味であるアイテム掘りでボスを周回する等のレアリティ概念はなく、経験値を貯めると武器レベルが上がり自動的に使える武器が開放されるシステムなので、やりこみ要素もレベル上げとアビリティのスキル振り分け程度でゲームそのものの底はとても浅い。
オンライン協力プレイも出来るがゴムバンド現象（ちょっとキャラを動かしてもすぐ元に位置に戻っちゃう）が非常に！非常に！多いので快適にプレイ出来るとは思えなかった。
セイクリッド3GOLD（DLC全部入り）だとサウンドトラックが付属しており
（場所はSteam\steamapps\common\Sacred 3のSoundtrack）
音楽自体の完成度はなかなか良い。
セールで1000円以下でもまだ…高いような気もする。 正統派ハクスラをやりたいならいわゆる神ゲーと呼ばれるTitan Questやトーチライトシリーズなど名作がセールで安くなっているのでプレイして頂いて、まだ物足りないならこのゲームをプレイするのもいいんじゃないでしょうか？",negative,ボリューム不足,ボリューム・価格,レビューでは「こじんまりした印象」や「やりこみ要素もレベル上げとアビリティのスキル振り分け程度」と、ゲーム内容が浅い点を指摘しているため。
17,おすすめ,6,"Sacredではありません。繰り返します。Sacredではありません。
ですが、面クリア型のアクションゲームとして見た場合、中々に面白い作品に仕上がっています。
勿論、１００点満点の秀作ではありませんが、
普通にCOOPやソロで遊ぶ分なら申し分ない面白さです。
キャラの育成も、思っていた以上に細かく出来ますし、
それなりにストーリーもちゃんとあります。
まぁ。おまけ程度ですが。
アクションゲームが好きな人や、兎に角ひたすら敵を倒すことに飽きない人へオススメします。",positive,アクション要素,ゲームシステム,アクションゲームとしての面白さとキャラ育成の深さが挙げられているため。
18,おすすめしない,20,"常に連打したい人におすすめ
サポート精霊を吸血鬼にすると野太い女の声で「おやっさーん！」とたまに叫びます",positive,サポート精霊の声,演出・グラフィック,独特な声の表現が面白いと感じているため。
19,おすすめ,27,"やあ、全国800万人のシューティングゲームファンの猛者たち！こんばんわ！
昨夜俺のファッキンなブラザーと一緒に難易度レジェンドをクリアしたから軽くレビューしてみるよ！

まず、このゲームはどこかで見たことのある風景やどこかでみたようなギミックなどが織りなす全く新しいガントレットのような格闘アクションゲームだ！そこらのDI＠BLOクローン的なものと一緒にしちゃいけない！
課金キャラを含む5人のヒーローの中から一人選んで様々なコンパットアーツと様々なウェポンスピリットと3種類の武器で難易度の向こう側を目指すんだ！
防御行動に防御と回避があるんだが、残念！こいつはどちらかしか選べないんだ！
組むビルドもかなり影響受けるから慎重に選ぼう！

最後に難易度にはレジェンドの上になんとゴッドというものが存在していて、レジェンドをクリアすることで挑戦出来るんだ！
俺たちはクリアした勢いそのままに神の領域に不用意に突っ込んだよ。

ちょっと笑えなかったぜ！

sacred2でゴールドからプラチナの世界に足を踏み入れたあの感覚だ！
だが、既にガントレットやダブルドラゴンなどをやり込んでいるような猛者は難易度レジェンドで始めることをオススメする。

おっと、忘れていた。このゲームをやるにあたって周りに一緒にプレイしてくれる素敵なブラザ－を1人以上用意しておくんだ！
誰も居ないのなら俺や誰かの部屋に入って適当に荒してくれてかまわないぜ！（キックしないとは言ってない）

ステージクリア後の何とも言えないキャラ絵達が気にならなくなったら君も立派なガチ勢だ！戦場で会おう！
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　2015.9.12　CAPTAINーYOSI",positive,難易度レジェンドのクリア感,ゲームシステム,レジェンドをクリアした勢いそのままにゴッドに挑戦し、sacred2でゴールドからプラチナの世界に足を踏み入れたあの感覚を得たため。
20,おすすめしない,25,"その日、私は妻と二人で庭から夕闇を眺めていた。
私は沈みつつある夕日を眺めながら、縁側に座る妻に声をかける。
「セイクリッド3…クリアしたよ…。」
妻の方に向きなおさず、夕日から目を離さず話しかける僕に、何かを察したのか妻は一言返した来た。
「クソゲー…だったのですね…。」
妻の問いかけには答えず僕は妻の顔に向き直ると、少し口角を上げて微笑むような表情をした。
「何も仰らなくてもわかります…貴方は本当に面白ゲームに出会った時には、それはもう子供のような表情で私にゲーム画面を見せようとなさいますから。」
答えながら、妻も少し表情を緩める。
…結婚してから、僕が意識することなく接してきた妻への態度、しかし彼女は、そんな僕の無意識の行動の全てをいつの間にか把握していたようだ。
そんな妻を見ていると、何だか結婚というものは良いものだと改めて感じることができる。
クソゲーをつかまされてしまったかもしれないが、そういった所謂平凡な幸せを再確認するには、良いゲームだったのかもしれない。
殊更にそんな文学青年を気取ったことを考えいると、妻が続けて僕に問いかけてくる。
「ただ…不思議なのは、あなたはクソゲーと分かった瞬間に、いつもすぐに投げ出して決してクリアすることなく、アンインストールだったはず…今回は、どういうお風の吹き回しでクリアまでプレイされたのですか？」
そう、これも僕の無意識の行動だった。
常なら、クソゲーと分かった瞬間に黙って、または支払った金額に対して後悔をしながら、アンインストールをする僕ですが、今回ばかりは少し事情が違っていたのです。
セイクリッド…その名はハック＆スラッシュを愛好する人々の間では、燦然と輝くタイトル…。
僕も下手ゲーマーと言えども、御多分に漏れずセイクリッド2までは、それこそ寝る間を惜しみ、昼夜の別なくプレイしていた。
そんなセイクリッドだから、3が発売されると聞いた日には、PS3では予約までして購入したものです。
そう、セイクリッド…。
それこそが、クソゲーと認定した後も、僕を最後まで…エンディングまでプレイさせる原動力になったのです。
そんな気持ちを、それこそゲームが左程好きでもない妻にどう伝えたら良いのか…やおら考えたのちに、僕は妻に語りかける。
「そうだな…セイクリッドを…愛しているからじゃないかな…？」
陳腐な表現だが、それ以外どうにも上手い表現が見つからない。
「愛している…まあ、憎い人…私という妻がありながら、貴方はセラフィムに心を傾けるのですね。」
ちょっと膨れ面になった妻だが、それは本気でなく、私に対するちょっとした悪戯心からだとスグ分かる。
これも、お互いに無意識に培ってきた関係だろうか。
そんなことを考えながら、縁側から立ち上がると、僕は妻に一言…。
「何を言ってるんだい。君以上にセラフィムがって話なら、僕は2次元のセラフィムと結婚しいるさ、君が一番の女性だと思ったからこそ、こうして僕は君と結婚したんじゃないか。」
少し照れ臭かったが、妻を愛していると間接的に表現をして自分の部屋に戻ることにした。
そんな僕の気持ちを察してくれたのか、妻の声が僕の背中に響く…。
「ありがとうございます。それじゃ、今夜は貴方がお好きな永谷園の麻婆春雨に致しますね。」
その表情が、いつもの口角を少し上げた微笑むような妻であることは、疑いがなかった。
そして僕は、心の中で叫んでいた。
「今夜は、永谷園の麻婆春雨だぜ！YHEEEEEEE！」
ハクスラ要素0、キャラクターの差別化なんてトンデモネェ、オンラインロビー人数０、そんなクソゲーですが、小さな平凡な日常と幸せを想起させてくれる…実は素晴らしいゲームなのかもしれませんね。

このゲームを他のプレイヤーにおすすめしますか？

いいえ＾＾",positive,平凡な幸せ,その他,クソゲーと分かっていても、妻との関係や日常の幸福感を感じさせてくれるゲームであるため。
21,おすすめしない,20,金貨とるときのＳＥはいいよ。以上。,neutral,SE,その他,ゲーム内容以外の要素であるSEのみを褒めているため。
22,おすすめしない,6,"前作みたいにオープンフィールドではない

新しい防具とか武器を手に入れて見た目が変わるとかは一切なく
三国無双みたいになってるので前作の大幅進化だと思ってたら買わないほうがいいかも

セイクリッド無双と言ってもおかしくない",negative,オープンフィールドの廃止,ゲームシステム,オープンフィールドがなくなったことと、三国無双のような戦闘システムになったことを批判しているため。
23,おすすめ,31,"海外でユーザースコア1.4という評価を受けた曰く付きの作品。
原因は前作の2がH&S系のオープンワールドRPGに対して
こっちはアーケード系の協力アクションゲーム。
まるで別物のジャンルなのに3を名乗ってしまったが為に
H&Sを期待していた旧作ファンから
猛反発をくらって悪評まみれになりました。

しかしアクションゲームとしての出来は中々良く
攻撃・崩し・溜め崩し・二枠分自由に装備出来る必殺技・
無敵緊急回避・投げ・ガード・ダウン攻撃・協力攻撃とシステム面は整っています。
LVアップに武器の強化やスキルの強化、付け替えなど
そこそこの育成要素もあります。
個人的にはゲームの出来は決して悪いものではないと思います。
特別、良作というワケでもないですが。

ボスのAIなどはシンプルで難易度は高くはありません。
ジャンルとしてはMagickaやGauntletのように
PTプレイでワイワイガヤガヤ楽しむタイプのアクションです。
仲間がいれば蘇生をしてもらえるので
アクションが苦手な方でも楽しめると思います。
外伝という名前で出して、2400円くらいだったら評価されたかもしれません。

個人的には友人とちょっと遊ぶソフトとしては当たりですが
ヌルめの難易度で内容的には無双系に近いので
シングルプレイだと物足りず、リプレイ性は低いかもしれません。
あくまでCo-op前提のゲームですね。

今は定価も下がりましたし、
協力アクションに飢えている人なら
セールの時に試してみるのも有りだと思います。
ただオンラインの人数には期待しない方がいいです。",positive,システム面,ゲームシステム,攻撃・崩し・溜め崩しなど、多くのアクション要素が用意されているため。
24,おすすめ,20,"ただのアクションゲーだったら嫌いではないほう。ディアブロ３よりもフィールドが美しいし、さくさく進むからプレイしてて気持ちいい。
ただ、みんなの言うとおりハクスラ要素がほぼないのでやりこみがいがない。一度クリアしてしまうと、後はただキャラ変更してまた同じことの繰り返し。マッチしてもかなりカクつくからやる気がうせてくる、、、、、、。",negative,やりこみがい,ボリューム・価格,ハクスラ要素がほぼないため、クリア後は同じことの繰り返しになるという点が不満である。
25,おすすめしない,15,"Sacred2と同じような物の、続編と期待して購入するのは止めた方が良いですが
同じ舞台設定の別ゲームとしてやるには、其れなりに楽しめると思います
あくまでも、Sacredと考えなければですね",neutral,Sacredとの比較,外部要因・映画化,Sacred2と比較して期待しない方が良いという表現から、ゲームとしての評価は中立であると考えられるため。
26,おすすめ,19,"Sacred 2の続編として見た場合、評価はかなり悪くなる
sacred citadelの続編と考えるのが無難
難易度が4段階あり最高難易度はかなり手強い
デフォルトだと敵が弱いので難易度は常に最大に上げた方がいい
クリア後に出現する難易度は手応えが十分あるので周回できる
Coopは途中参加も可能、ワイワイやれるし足の引っ張り合いも可能
しかしSacred2とはまるで違うのでシリーズファンには残念なのは揺るがない",negative,難易度,ゲームシステム,難易度の調整が難しく、デフォルトだと敵が弱すぎるため常に最大難易度にする必要があるためである。
27,おすすめしない,20,"前作の続編ではない　
ストーリーもまるで繋がっていないし、システムも全然違う。
ただナンバーリングを３にしただけの別物",negative,ストーリー,その他,前作との繋がりや系統性がない点が不満に思われているため。
28,おすすめ,4,"装備やスキルは、レベルとお金を使用する事によって解除されていく感じです
装備は、ストーリーを進めていくかレベルが上がると解除される感じかなと
レアアイテムを拾うとか言う楽しみはない分誰でも装備を強くする事が可能です
逆に言うと長くゲームをしていたものほど強い状況で、全員最終的には同じ装備同じスキルになる可能性があります
其処を楽しいと思うかどうかが評価の分かれ目になると思われます
日本語の字幕は問題はないようです",neutral,装備の強化方法,ゲームシステム,レベルやお金で装備を強化できるため、最終的には全員が同じような強さになる可能性がある点が指摘されている。
29,おすすめ,18,"このゲーム最大の失敗は「セイクリッド3」と名乗ってしまったことです。
しかし、普通のアクションRPGとしてはありだと思います。

■ひとことで言うならゲームセンターのゲームです。
難しいことを考えずにさくさくプレイできるの忙しいPCゲーマーの息抜きに最適ではないでしょうか。ストーリー展開はまったく深みがありませんので飛ばしてOKです。マップも一本道なので迷う心配はありません。ワラワラ出てくる敵をひたすら倒しましょう。倒すとお金を落とすので回収します。大きな宝箱を開けるとお金がいっぱい出るので残さず回収しましょう。お金と回復アイテム以外は一切出てこないので悩む必要はありません。ひたすら敵を倒しましょう。それだけです。思考要素はゼロなのでラジオでも聴きながらプレイしましょう。レベルが上がると強くなります。ビルドなんて存在しないので悩む必要は全くありません。

■多人数で気軽にプレイするようにデザインされています。
積極的に人のゲームに乱入してみましょう。面倒なチャットもないので安心して乱入できます。宝箱からお金しか出ないのも、ステージが一本道で面倒なギミックがないのも、ボスの攻略が単調なのも、ビルド要素がないのも、すべてが多人数で気軽にプレイしてもらうためです。清々しいまでの割り切りです。

ただ単純にバカで楽しい時間がそこにはあります。あるような気がします。Diablo3やPath of Exileの殺伐とした世界からの逃避先にいかがでしょうか？",positive,シンプルさ,ゲームシステム,思考要素がゼロで、レベルアップするだけなので、Diablo3やPath of Exileのような殺伐とした世界からの逃避先に最適だと述べているため。
30,おすすめしない,1,"日本語版発売前から評価が低かったのはそれほど深く気にしていませんでしたが、そんな私が馬鹿でした。
もう知られているでしょうが、これはハクスラではありませんので気になってる人はそこだけ注意",negative,ハクスラではない,ゲームシステム,レビュー者はハクスラを期待していたため、実際にはハクスラでない点が失望の要因となっている。
31,おすすめしない,21,"カテゴリーが違うんじゃないかな。
前作と変わりすぎ。",negative,前作との変化,ゲームシステム,前作とは異なる点に不満を述べているため。
32,おすすめしない,10,"B級のハズレ映画を永遠と見せられてる感じ。
このゲームを一言で表すなら「浅い」

追記。
発売日を2日も過ぎてるというのになんの連絡もない始末
ゲームもつまらなければ販売も予定通りにできないとかダメですわこのメーカー",negative,販売対応,外部要因・映画化,発売日過ぎても連絡がないなど、販売対応の悪さが不満であるため。
33,おすすめしない,4,ハクスラではなくアクションゲー、２やった人が期待して買うと後悔します。,negative,ハクスラ要素不足,ゲームシステム,ハクスラを期待して購入したユーザーが失望する内容であるため。
34,おすすめしない,6,"最初に言うべきことは、あなたがもし""セイクリッド2”の続編を求めているのなら、このゲームを手にする必要は全くないという事です

まずこのゲームにおけるセイクリッド2との違いがどこにあるのかというと
・オープンワールドRPGからステージクリア型アクションへ
・雑魚敵からのアイテム,装備品のドロップがなく、ボスを倒したときに武器がドロップする程度
・キャラクターや武器の強化は全て金を利用する
・そもそも変更するような装備箇所が武器とウェポンスピリットくらいしかない
辺りでしょうか。他にも細かいところがあると思います
これらが変わった上で面白いアクションゲームになってれば文句はなかったのですがそうもなってません

ミニ・ウェーブをクリアしチェックポイントを通りつつ先に進んでいくシステムに、なぜか強化に必要なお金だけは敵からドロップしてしまうことで一々拾わなくてはいけないのがゲームのスムーズな進行を阻害する要素になっています。ステージクリア時にまとめてくれれば済むのに
クリック連打しないと繋がらず手が疲れる通常攻撃、2種類しか装備できないスキル（コンバットアーツ）
キャラクターに関してもアーマー（装備変更ができるようなものではない）,武器,スキルにお金を使った強化項目ツリーがあるだけでカスタマイズ要素が高いとはとても言えない

co-opプレイを前提とするならばつまらない、ということはないですが面白いかと聞かれれば口ごもります
オープンワールドでなくなったとしてもセイクリッド2で感じたこれでもかというほど多様で楽しめるキャラクターカスタマイズがあるならば面白いんじゃないか？と思っていたのにもはやそれすらもなく、もうなんでこのゲームセイクリッド名乗っちゃったんでしょうか。悔い改めて。",negative,カスタマイズ要素の不足,その他,オープンワールドRPGからステージクリア型アクションへ移行したにも関わらず、キャラクターや武器のカスタマイズ要素が少なく、セイクリッド2のような多様性を感じられないため。
35,おすすめしない,14,"ハックアンドスラッシュタグ とはなんだったのか　ドロップ発掘作業もなく、ただただＬＶを上げお金をためて進めていく
Ｓａｃｒｅｄ2とは別ゲーだった",negative,ボリューム不足,ボリューム・価格,ゲームのボリュームが少なく、Sacred2とは全く異なるためである。
