番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
11,おすすめしない,41,"アクトクリアしてエンドゲームをある程度触った段階でのレビューです。
ログイン問題は論外としてゲームの中身について書いていきます。

まず良かった点としては昨今のハクスラはどれも複雑化しており、
慣れるまでのハードルが高い傾向にありますがこのゲームはリリースされたばかりということもあり、比較的シンプルで遊びやすいです。
またスキルのハクスラ要素が斬新で、同じスキルであってもロールによってスキル固有のツリーが決定されるので強化できる項目が違いマップを周回する動機にもなります。

続いて悪い点ですが、まずクラフト有のハクスラとしては倉庫が致命的に使いづらいです。
モジュールと呼ばれるアイテム強化に利用するアイテムがありこれを大量に拾うことになるのですが個々のスタック数が小さいのでかさばります。
そしてアイテムカテゴリごとに倉庫に入れることもできないので整頓を意識せずに倉庫に入れておくとぐちゃぐちゃになります。（いちいち整理するのは周回重視のハクスラに置いてテンポが悪すぎます）
街にいるときのクラフト時もインベントリにあるアイテムからしかできないためMODのリロールスパムなどやる際にいちいち倉庫から必要な分を取りだして利用となるのでこれもテンポの悪さを感じました。

ツリーについてはどの職業も共通のツリーを利用し職業ごとに開始地点が分かれているタイプで、ナイトで魔法や銃を使えて自由度が高いと聞くと聞こえがいいですが今のところ職業固有のツリーなどはないのであまりこのシステムを活かせていないような気がします。

ビルドの育成についてもかなりわかり辛いです。
この手のゲームでゲーム内のスキルの表記DPSなどはあまり当てになるものではないですが、
このゲームに関してはその類の表示がそもそもないです。
なのでパッシブツリーを取る際何が効果的なのかが直感的にわかり辛く最後まで雰囲気で遊んでいました。
またステータス画面の詳細画面もかなり見づらく装備やパッシブツリーから得られる能力が全て同じ覧に記載されるため自分の耐性やクリティカル率などを見るとき大量の記載事項からみたい能力についてスクロールして探すしかないです。

スキルについてですがリリースされたばかりとはいえかなり種類が少ないです。
自分は氷スペルキャスターで遊んでいたのですが自分が知る限り氷属性の攻撃スキルは1種類しかありませんでした。
キャスターだったので特にそう感じる部分は特に大きいと思われますが、
補助や移動スキルを除くとパッシブツリーで特化させる関係上自分に合うスキルは攻撃スキルは実質1種類みたいな感じになります。
1ボタン遊べるのは楽でしたが属性ごとのコンパチスキルでも良いのでもう少し幅が欲しいところでした。
あとこれは仕様なので仕方ないですが火の玉や氷の玉を飛ばすスキルが片手武器のロッドでしか使えず両手武器の杖に対応してなかったのは謎でしかなかったです。

落ちるドロップ品については色分けがレアリティによっての色分けしかないため床のアイテムが見づらいです。
せめてモジュールやコアなどの強化アイテムは白装備とは別の色にしてほしかったですね。
欲を言えばアイテムフィルターが欲しいです。

またこれはバグだと思われるのですがスペースキーに操作をバインドすると効かないため実質割り当て不可です。

書いてると悪い点ばかり思いついてしまいましたがこれらはアプデで改善されそうな項目なので今後に期待ではありますが、現時点ではとてもオススメできるゲームとは言えないです。",negative,倉庫の使いづらさ,ゲームシステム,アイテム整理が難しく、周回重視のハクスラプレイにテンポが悪くなるため。
12,おすすめ,0,"ディアブロライクなゲーム。
最初のキャラ選択・名前入力画面で結構固まる。
早期アクセス中のようなので、ブラッシュアップしていってもらえれば面白いゲームになるのではないか。
普段はCSでゲームしてるから、できればパッド対応してもらいたい。",neutral,初期状態の不具合,ゲームシステム,最初のキャラ選択画面での固まりが挙げられているため。
13,おすすめ,13,"※2026/04/12時点での感想です

気になる所は多々ありますが基本無料で遊べるのでオススメしないとは言わない感じですね
特に気になる所だけ先に箇条書きします
★WASD移動もコントローラー対応もしていない←大問題
・持ち物枠が課金で増やせるけど倉庫はまだしも手持ちを増やすのが高い（１タブ２０００円以上相当）
・思ったよりパッシブ中々触れない＆アクティブ種類最初は拾えない
といったところ

ログインできない問題での不評は当然ではありますが、そんなん２日もすれば関係ないので基本的に考慮しません

とりあえず、まだACTクリアはしてませんが敵がややマンネリでその割にがっつり痛くて油断するとあっさり死んだりします。
地味に遠距離の敵が強かったり画面のほぼ外の見えない所から地形範囲攻撃（判定見えない）が撃たれたりして即死したりはつらいが、そこそこのビルド幅とハクスラ幅、基本無料ということでとりあえずオススメしないとは言わなくていいかなという感じ。

とにかく、WASD移動かコントローラー対応が無いのは現代ハクスラとしてはさすがに時代遅れかつ操作が面倒なので対応して欲しいけど予定はあるんですかねぇ？
DiabloとかLoLをリスペクトしてるのかもしれませんが、UIや操作は時代に合わせて、良くするに越したことないんですよ？いやほんとに。",positive,基本無料,ボリューム・価格,基本無料で遊べるため、おすすめしないとは言えないと述べている。
14,おすすめしない,0,"スタッシュにアイテムを出し入れする際やアイテムの使用時の使いにくさ
スキルの動作や敵mobに密着された時の移動がストレスすぎてact走る気になりません",negative,操作性,ゲームシステム,アイテム操作やスキルの動作、敵との近接移動の使いにくさがストレスを感じさせるため。
15,おすすめしない,0,"無限ロードを耐え抜きやっとチュートリアルを開始して10分経たずのこと。
ある程度進むと次のエリアに向かうための「穴」を通るのだがそこで発生するロード中にサーバーエラー。
再接続するとまたチュートリアルが最初から,,,かとおもいきや普通に次のエリアに進める。
しかしここで問題が発生、手持ちのアイテムはそのままだが装備していたものがすべてなくなっている。
武器がないので敵に攻撃もできない、チュートリアルも完了扱いなので武器ももらえない。

ネットワークの悪さで問題視されているがゲーム自体もかなり粗が目立つ。
似たような無料ゲーは既に存在するのでそちらをやったほうが精神衛生上良いかと。",negative,サーバーエラー,ゲームシステム,サーバーエラーにより、ゲームプレイに支障が出ているため。
16,おすすめしない,29,"ログインとログイン状態の保持が強敵のゲーム。
あと、休憩を許さないシステムはかなり酷。
チェックポイントの距離が長いのに、５分くらい休憩して戻ってきたらポータルが消え、マップが消え、敵が復活。リセットされる。下手したら町で売りさばいたり、構成考えたりしている間でもリセットされる。
リセット早すぎません？？？
あらゆるものがランダムなのでスキル構成はオリジナリティが出そう。そこは良い点。
ちなみにヘルプ機能やチュートリアルはほぼなく、意味不明の仕掛けは多い。もう少し説明がないと理解が進まないかな。
早期アクセスだし、今は無料なので許せますが、早いうちに立て直してほしいです。",positive,リセットシステム,ゲームシステム,リセットの頻度が極めて高く、プレイヤーを常に緊張状態にさせるため。
17,おすすめしない,3,"トーチライト　グリム　オブ　エグザイル　って感じ。
すごく良く言えばオマージュ、悪く言えばまるパクリ
このゲームならではの売りが全くありません
初日からのログイン戦争もあったし、正直良いところが見当たらない・・・

これならPoEかグリドンでノンストレスでいいやって話",negative,ボリューム不足,ボリューム・価格,ログイン戦争やゲームの欠点から、他のゲームの方が良いと述べているため。
18,おすすめしない,0,"ハックアンドスラッシュの金字塔 Grim Dawn リスペクト、いわゆる「グリドンライク」である Diablo や Path of Exile をこれまた模倣して開発され、アーリーアクセス初日はサーバー不具合によりプレイ不可能だったが、2日目には改善傾向にある
ただし、現段階ではグリムドーンの足元に及ばない平凡作と評価できる",negative,グリムドーンの足元,その他,Grim Dawnに及ばないと評価しているため。
19,おすすめしない,1,"最初のエリアクリア時点(2時間ほど)の進度でのレビュー
ログイン関連は今後改善すると思うので一旦おいておきます。

長所
・スキル自体がハクスラ対象になっている(であろう)ことは比較的すぐわかる。これが好きな人はハマる素養アリ

短所
・アセットほぼなしの20年前のクオリティのスッカスカマップ。なのに重い。毎エリアロードのたびに10~30秒待たされる。筋トレでもしながら待とう
・ラグなのかコマ落ちなのか時折時間が飛ぶ
・クラフトアイテムは専用インベントリに隔離されずしっかり鞄の枠を埋めてくる。インベントリが狭くなったら課金で広くできるぞ！とマッチポンプを体感できる
・上の項目に関連してか本来ゲーム的には拾う一択のはずのクラフトアイテムもカチカチクリックして拾えるクリッカー仕様！パック処理と同等の時間クリッカーゲームも楽しめるぞ
・基本的に不親切。クエスト導線はほぼ表示されないしクラフトチュートリアルがチュートリアルとして成立してない。あの遷移に気づかなかった人そこそこいそう

無料ハクスラのライバルが多い昨今このゲームをやる理由はスキル自体をトレハンできること。
そこに惹かれる人はぜひプレイしてエンドコンテンツまで頑張ってほしい。

もし高レア版のスキルがゲームチェンジャーでめちゃめちゃ気持ちよかったらレビュー書いてください。
手のひら返しするためにもう一度プレイします。",positive,スキル自体をトレハンできること,ゲームシステム,レビュー者は、スキルのトレハン要素に惹かれると述べているため。
20,おすすめしない,7,"低スペックでPOEライクなハクスラができそうと思ってプレイ。
操作感が…ワンテンポずれるのはサーバー？スペック？
某トーチライトとか某ディセンバーの方がサクサクなのですが…

早期アクセスなのでクオリティはこれからとは思うのですけど有名ハクスラを踏襲しているようでしてないような感じのプレイ感。スキルやアビリティは幅はそれなり。

スペックあるならPOEで良いし似たようなのがオフラインで色々あるからサーバー気にせず遊ぶならそっちが良いし…今の所は微妙なラインです。どれだけクオリティが高められるのかは未知数ですが、シーズン制との事で…他とどう棲み分けできるかですよね…

とりあえず、現状はまだお勧めではないです。
お勧めできるポテンシャルは在りそうとは思いますが…",negative,操作感,ゲームシステム,ワンテンポずれる操作感が、他のハクスラと比べて劣っていると感じているため。
21,おすすめ,0,現在はゲームプレイ可能です,neutral,ゲームプレイ可能,その他,現状でゲームがプレイできることを伝えるだけの簡潔な文章のため。
22,おすすめしない,6,"令和の時代にイチローオンライン(2006年)が体験できる名作。
《追記》
サーバー問題がやや解決方向でプレイは出来るようになったものの、PVは上手く面白そうなアクションゲームに映るように撮ったなという印象の操作性の悪さ。
何の味もしないグラフィック・マップ・BGM・敵の動きに加えて、集金しか考えていないようなインベントリでタブ追加1つ15ドルのぼったくり商法。
インベントリと倉庫のアイテム移動がドラッグアンドドロップしかないなど、QoL部分はいくつか今後のアップデートで修正されるかもしれないが、現状面白さやワクワク感は特に感じられないゲーム。",negative,操作性の悪さ,演出・グラフィック,PVは上手くアクションゲームに映るように撮ったなという印象の操作性だったため。
23,おすすめしない,0,"不具合を全然なおせていないどころか
頑張ってますアピールですか…
じゃあなぜ事前に大規模負荷テスト、サーバーテストをやらなかったのか？
それをやるだけで今回の問題は解決したはず
これじゃあまり期待はできませんね…",negative,不具合,ゲームシステム,レビュー者は、ゲーム内の不具合が修正されていないことを批判しているため。
24,おすすめしない,0,アーリーでこの出来はちょっともう無理じゃないかな…,negative,ボリューム不足,ボリューム・価格,「アーリーでこの出来はちょっともう無理じゃないかな…」という文脈から、ゲームのボリュームが不足していると感じているため。
25,おすすめしない,1,うんちのようなゲームです,negative,うんちのような,その他,「うんちのようなゲーム」と表現しているため。
26,おすすめしない,0,"想定以上のヒットによる鯖トラブルは仕方ない面もあると思います。
しかしこの程度の数字でまともにプレイできないのはさすがにちょっと。",negative,鯖トラブル,外部要因・映画化,サーバーの不安定さによりゲームがプレイできない状態であるため。
27,おすすめしない,3,"少し期待していただけに残念。
ログイン自体は普通にできるが、マップ移動すると必ず切断されます。
何度も試してみたが、無理でした。
面白さを見つける前に終わりました。",negative,マップ移動時切断,ゲームシステム,マップ移動時に必ず切断されるため、ゲームをプレイすることができず、面白さを体験できなかった。
28,おすすめしない,26,"エンドゲームまで何とか到達しましたけどエンドゲームが全く面白くない！
装備集めも何一つ楽しくないしハクスラゲーとしては現状全くオススメ出来ない、初動で致命傷負って更にゲーム内容も致命傷で褒める所を見つけるのが大変です",negative,ゲーム内容,その他,エンドゲームの面白さや装備集めの楽しさに欠ける点を指摘し、ハクスラゲーとしてはおすすめできないと述べているため。
29,おすすめしない,9,"ログイン画面から進まない；；
4/12 奇跡的にログインできました。ゲーム自体は面白いです。感覚的にはPOE系かな？
基本無料ゲーは初期インベントリの少なさがネックですね・・・直ぐににもパンになります。",positive,面白さ,その他,ゲーム自体が面白いと述べているため。
30,おすすめしない,23,"2026/4/11 10;00現在ログインできません。
メンテナンス開けても同じ状況なので残念ながらこの開発会社の技術力が乏しいという事だけが
わかったメンテナンスでした。初日は我慢しましたが流石に最悪です。",negative,技術力,外部要因・映画化,ログインできない状況が続き、開発会社の技術力の低さが露呈したため。
31,おすすめしない,0,"21:00 開始予告
21:01 リリース
21:04 ダウンロード・インストール完了
21:05 キャラクター作成

この時点で切断祭り。
Steam上の同接数で4000人未満、
Epicからのアクセスもあるとはいえ半分以下でしょう。

この程度が耐えられないサーバしか用意できない運営には今後期待は出来ないかな...
予算とても少なそう。


待ってる間に設定を見ていましたが、移動がマウスクリックのみでWASD非対応、ゲームパッドも未対応との事なので、ちょっとだるいなーと思ってアンインストール。",negative,サーバ状況,外部要因・映画化,サーバーの負荷が低く、多くのプレイヤーが接続できず、運営への期待を下げたため。
32,おすすめしない,0,ログインを眺めるゲーム,negative,ボリューム不足,ボリューム・価格,短すぎる内容であることを批判しているため。
33,おすすめしない,0,"初日に奇跡的にログイン出来てチュートリアルまで漕ぎつけました。
操作性はほぼLOLですが、そこに余計な操作要素を加えたせいでストレスのたまる操作性に化けています。

チュートリアルの説明も微妙にわかりづらく、操作のストレスも限界にきたのでチュートリアルの途中でアンインストールしました。
チュートリアルまではかなりダメダメでしたが、もしかしたらチュートリアルを抜けた先は素晴らしい神ゲーかもしれません。
幸いこのゲームは基本プレイ無料なのでチュートリアルをがんばって抜けて、その先にあるかもしれない楽しさを見つけに行くのもいいかもしれませんね。",neutral,操作性,ゲームシステム,操作性の悪さがストレスを感じさせたため。
34,おすすめしない,15,ログインできません,negative,ログインできない,その他,ログインできないという問題が挙げられているため。
35,おすすめ,1,まだ序盤も序盤だけどこれが無料とはありがたやぁ。ロード問題があったけどそれが修正されたなら早期だし多少の不具合は徐々に修正されればいいかな。バッグは小さめかな,positive,早期アクセス,ボリューム・価格,無料であることと、早期アクセス段階であることを肯定的に評価しているため。
36,おすすめしない,11,"初日が一番大切です。
ディアブロにはないスキルドロップ制、多言語対応、人気のハクスラ、基本無料を考慮すると当然完璧な事前準備が必要です。「プレイヤーの流入が予想以上に急増しており、サーバー切断が発生しております。開発チームが問題解決に努め、サーバーの負荷分散対策を実施しております。ご迷惑をおかけして申し訳ございません。」
この手の自爆は複数の糞ゲーで見てきています。日本時間 4/10 21時頃にサービス開始。現在4時間経過..何も変わっていません。サーバーから切断されました....の後、ログインの再試行はされてない感じなので閉じて、起動して、まだダメかの繰り返し。",negative,サーバー問題,外部要因・映画化,サービス開始後もサーバーが不安定でプレイできない状態が続いているため。
37,おすすめしない,17,"いつまでたっても接続できないクソゲー。
接続できてもエリア移動で切断。再ログインできず。
とりあえず「そもそもゲーム自体ができない」。
問題解決のパッチ対応しても解決せず。
状況を監視すると言いながら対策なし。",negative,接続問題,ゲームシステム,接続不良や再ログイン不能などのゲームシステムの問題が挙げられているため。
38,おすすめしない,1,login,negative,映画化,外部要因・映画化,映画化に関する不満が述べられているため。
39,おすすめしない,0,面白そうだけど、メールアドレスとコード入力後のロード中以降ゲームが進まない,negative,動作不具合,その他,ゲームが起動しないためである。
40,おすすめしない,3,ロード中です,negative,映画化,外部要因・映画化,映画化に期待していたが、ゲームの内容とは関係なく、組織の問題を批判しているためである。
41,おすすめしない,0,ログインできない,negative,ログインできない,その他,ログインできないという問題が挙げられているため。
