番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
24,おすすめ,229,オンラインの方の治安はちょっとあれかもだけどグラフィックもいいし、いろいろ要素があってこれが１３年前のゲームだと思わないぐらい完璧。（このエンハンスト版は去年からだけど）,positive,グラフィック,演出・グラフィック,グラフィックが良いと述べているため。
25,おすすめ,665,"オフラインでは、チンピラ、プロ強盗、イカれた犯罪者、それぞれの視点を行き来し入念な強盗準備とドンパチ、時たま起こるイベントをこなしながらよくも悪くもGTAらしい無秩序なストーリーを楽しめます。
一方オンラインは麻薬王の豪邸を執拗に襲撃し金を稼ぐゲームです。おまけコンテンツとして車や兵器、プレイヤーキルなんかがあります。",positive,無秩序なストーリー,その他,オフラインではGTAらしい無秩序なストーリーを楽しめるという表現がポジティブに評価されているため。
26,おすすめ,21,ストレス発散におすすめ。,positive,ストレス発散,その他,ストレス発散できるゲームであると述べているため。
27,おすすめ,11,gfd,negative,映画化の配役,外部要因・映画化,ゲーム外の理由である映画化の配役について不満を述べているため。
28,おすすめ,277,SAIKOU,positive,SAIKOU,その他,「SAIKOU」と表現しているため。
29,おすすめ,1250,つまらんゲームだ,negative,つまらん,その他,文章全体から「つまらない」というネガティブな感情が表現されているため。
30,おすすめ,51,iine,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
31,おすすめしない,340,バグとチーターまみれ、ゲームの世界にさらなるストレスを求める方にぴったりです。,negative,バグ・チーター,ゲームシステム,バグとチーターが多い点がストレスになるため。
32,おすすめしない,47,BattleEyeエラー,negative,BattleEyeエラー,その他,ゲームプレイに支障をきたすエラーが発生しているため。
33,おすすめ,38,金満プレイヤーがリスキルしまくってくるので話にならない,negative,リスキル,ゲームシステム,他のプレイヤーの行動がゲームプレイを阻害しているため。
34,おすすめ,349,kami,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
35,おすすめ,193,kamige---!!!,positive,kamige---!!!,その他,「kamige---!!!」という表現から、作者がゲームを非常に高く評価していることがわかるため。
36,おすすめしない,1294,"ハロウィンの天候今やるの意味不明だし見にくいしカスタムとかの色合いも確認しづらいからアクションメニューとかから切り替えれるようにしてくれ
一応高級物件のガレージ→エレベーターからアパート入る→アパートから外に出ることで自分だけ天候治りますので困っている方いたらご参考までに
マジで見にくい",negative,見にくさ,演出・グラフィック,ハロウィンの天候やカスタムの色合いが確認しづらく、アクションメニューからの切り替えを要望しているため。
37,おすすめしない,169,不安定すぎ,negative,不安定,ゲームシステム,ゲームが不安定であるためネガティブな感情を抱いている。
38,おすすめ,40,人生終わるまでにやっておいたほうがいいゲーム,positive,ボリューム,ボリューム・価格,「人生終わるまでにやっておいたほうがいい」という表現から、ボリュームが大きいと感じているため。
39,おすすめ,64,god,positive,神ゲー,その他,「god」という表現から、ゲームに対する非常に高い評価であると判断したため。
40,おすすめ,139,世界一のかみげー,positive,かみげー,その他,「世界一のかみげー」という表現から、作者はゲームを肯定的に評価していると考えられるため。
41,おすすめ,128,ヒヒヒ、おしっこ発射!!NPC丸焼き、めっちゃ楽しいストレス解消ワントップゲームｗ,positive,ストレス解消,その他,「めっちゃ楽しいストレス解消」と表現しているため。
42,おすすめ,251,これはだめやね,negative,だめやね,その他,「これはだめやね」という表現から、ゲームに対するネガティブな感情が読み取れるため。
43,おすすめ,47,"ゲーム初心者にとっては操作方法の説明が少なくかなり難易度が高いゲームでした。
ただそれ以外はとても楽しかったです！",positive,操作方法の説明,ゲームシステム,操作方法の説明が少ないため、初心者には難易度が高いと述べているが、全体的には楽しめたというポジティブな評価である。
44,おすすめ,616,ハエ叩きがうまくなりました,neutral,ハエ叩き,その他,ゲームの内容ではなく、ハエ叩きのスキル向上を表現しているため。
45,おすすめしない,117,"ログインできない　
バグが多すぎる",negative,バグ,ゲームシステム,ログインできない、バグが多いと述べているため。
46,おすすめ,14,᠌ ᠌ ᠌᠌ ᠌ ᠌ ᠌ ᠌ ᠌,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
47,おすすめしない,122,バグが多い、チータ多い、改善の兆しなし、でも好き,positive,好き,その他,ゲームの欠点があっても作者が「好き」と述べているため。
48,おすすめしない,188,開発者のオナニーゲー,negative,オナニーゲー,その他,ゲームを「オナニーゲー」と表現しているため。
49,おすすめ,60,gooooooooooooooooooooooooood,positive,gooooooooooooooooooooooooood,その他,非常に肯定的な表現であるため。
50,おすすめ,512,ボリュームがある。面白い。,positive,ボリューム,ボリューム・価格,ボリュームが大きいと述べているため。
51,おすすめしない,524,"⠀ ⠀ ⠀⠀ ⠀fﾆヽ
　　　　|_||
　　　　|= |
　　　　|　|
　　　　|= |
　　 i⌒|　|⌒i_
　 ／|　|　|　| ヽ
　｜ (　(　(　(　|
　｜/　　　　　　|
　｜　　　　　　 |
　 ＼　　　　　 ノ
　　 ＼　　　　/
　　　｜　　　｜",negative,映画化の配役,外部要因・映画化,ゲーム外の理由である映画化の配役について不満を述べているため。
52,おすすめ,3,lfdsklfjlsdj,neutral,lfdsklfjlsdj,その他,意味不明な文字列のため。
53,おすすめ,57,楽しい,positive,楽しさ,その他,「楽しい」と明記しているため。
54,おすすめ,51,This game is the best,positive,best,その他,「This game is the best」と表現しているため。
55,おすすめ,95,楽しい,positive,楽しさ,その他,「楽しい」という表現から、肯定的な感情が読み取れるため。
56,おすすめ,110,トレバーが怖い、あとPS5のデータ引継ぎたい,positive,トレバーが怖い,その他,「トレバーが怖い」という表現から、ゲーム内のキャラクターに恐怖を感じていることが伺えるため。
57,おすすめしない,0,"[h1] オプションのキー割り当てを変更させろ [/h1]

オプションのキー割り当ての一番下に⚠マークがついて変更できない。問題のある⚠マークの割り当てを探しても見当たらない。どうなってるんだ？

レガシーはちゃんと変更できたのに、なぜ？？？",negative,キー割り当て,ゲームシステム,キー割り当てを変更できない仕様に不満を述べているため。
58,おすすめ,290,"犯罪ゲームと聞いて、嫌悪感を感じる人もいると思いますが、それを理由としてプレイしないのは勿体ないと思います！


・オフラインモード
オフラインモードは基本的にストーリーのミッションに沿ってゲームをプレイしていくモードです。
ですが、ミッションの合間に自由にサンアンドレアス州を探索したり、サブミッションをクリアしてみたり、車でドライブしてみたり……ミッション中以外は自由に行動できます。
肝心のストーリーですが……とても良い！
特徴的な主人公たちを操り、癖の強いキャラクターたちと共にプレイするストーリーは、時間を忘れてプレイしてしまいます。

ストーリークリア後は、所々に散らばっているサブミッションをクリアし、達成率100%を目指すこともできますが、
ほとんどのプレイヤーは、自由気ままに暴れまわると思います。
車をカスタムしてみたり、警察と鬼ごっこしてみたり、軍の基地から戦闘機を勝手に持っていってみたり、株価を上げるために車を破壊して回ってみたり、公式のチートコマンドで暴れまわってみたり……もう何でもできます。

ただ、オフラインの問題点を挙げるとすれば、ほぼ放置状態という所でしょうか？
2013年のPS3・Xbox360版発売以降、オフラインで追加されたものは少ないです。
オンライン重視になっている所は否定できません……。
ですが私自身（レガシー版で1100時間強、エンハンスト版で200時間プレイ）、そんな状態のオフラインモードを遊び尽くすことはできていません。
広大なサンアンドレアス州にあるアクティビティやサブミッション等は数えきれないほどあり、なかなか完全クリアは難しいでしょう。

オンラインに苦手意識を感じている方でも、GTA5はオフラインだけで十分（というかオフラインがGTA5本編なので）楽しめます！
また、オンラインモード目当てでGTA5を購入する方でも、一度はオフラインモードを遊んでみると良いかもしれません。


・オンラインモード
プレイヤーがカスタムしたアバターでプレイするモードです。
プレイヤーは様々なキャラクターから与えられるミッションなどをこなして、ロスサントスで成り上がっていきます。
ミッションもたくさんあり、地方の銀行を襲撃したり、ギャングとの抗争だったり、世界滅亡の危機を救ったり、南国の島を襲撃したり……オフラインより派手なミッションが多いです。
また、カジノなどのアクティビティもオフラインモードより多くあります。

『オンライン』と聞いて不特定多数とのプレイを想像するかもしれませんが……『招待限定セッション』にすれば、実質シングルプレイもできます（オンラインへの接続は必須）。
その為、無差別PKが嫌いな方やチーターに出会いたくない場合でも安心してプレイすることができます。

また、オンラインモードはオフラインモードとは違い、アップデートや追加要素も多くあります！
しかし……如何せん追加要素は超高額な物が多いです。
長年プレイしている人が多いためか、価格のインフレが激しく、ゲーム内通貨で数百万ドルもする乗り物が普通になっています。
ですが、今から始める人は購入時に付属しているDLCで、1000万ドル相当のボーナスコンテンツが付属した状態で開始されるので、安心しても良いかもしれません。

ここまで良いことばかり言ってきましたが、オンラインモードには問題点も多くあります。
それがチーターが多いことと、運営のサポート対応があまり良くないこと、そして複数人プレイが前提のミッションが多いことという点です。
チーター対策は招待限定セッションでプレイすれば回避できますが、サポート対応は改善してほしいところです……。
また、複数人プレイ前提のミッションが多いことはオンラインゲームである為、仕方ない点ではありますが……。



良い点も悪い点も多くありますが、GTA5はとても良いゲームであることは間違いありません！
続編であるGTA6発売も近いですが、購入しプレイすることをオススメします！！",positive,ストーリーの面白さ,演出・グラフィック,魅力的な主人公とキャラクターたちとのストーリーが楽しめるため。
59,おすすめ,4195,"2025年の10月下旬からオンラインモードのみを遊びましたが、2026年3月下旬の時点でまだ遊びつくせない程コンテンツが豊富で飽きがずっと来ません。
ほとんど限定セッションでソロプレイをしていますが、たまに公開セッションで募集するととても上手でノリが良い方が来てくれて、リードして下さり本当に楽しい経験しかありません。一緒に遊ぶフレンドがいたらきっともっと楽しめるんだろうなと思います。
画質はRTX4090でもGPU使用率が90％を超えるほど緻密な描写で、そんな景色を眺めながらラジオをかけて車を運転する時間がとても癒しです。ただNPCすらも治安が悪いので、すぐ暴言を吐かれてついカッとなって弾を撃ち込んでしまいますが、それも含めて楽しいです。
オンラインモードでも多少ストーリー性があり、登場人物同士の掛け合いがアメリカンなユーモアで面白くて好きです。いつかオフラインのストーリーモードもプレイしてみたいです。",positive,コンテンツ量,ボリューム・価格,膨大な量のコンテンツがあり飽きが来ないため。
60,おすすめ,60,"オンラインを楽しむためにレガシーからエンハンストに乗り換え。
相変わらず自由度が高く面白い。",positive,自由度,ゲームシステム,自由度の高さで面白さを実感しているため。
61,おすすめ,52,"気に入った点 . とてもやりがいがある
運転が楽しい　気に入らない点音声が英語しかない　₍車）（飛行機）（ヘリコプター）（バイク）が高すぎるもう少し低くしてほしい　こんなもんかな？",positive,運転が楽しい,ゲームシステム,「運転が楽しい」と述べているため。
62,おすすめ,188,人による,negative,組織の問題,外部要因・映画化,ゲーム以外の組織の問題を指摘し、不満を表明しているため。
63,おすすめ,918,GTAオンラインは一人だけでプレイできたり友達などと集まってプレイすることが出来ます。ただし、公開セッションと呼ばれるモードでは他のプレイヤーと遊べる利点はあるが、時々PKをしてきたり邪魔をされることが多いため、邪魔されたくないことだったり一人でゆっくり遊びたい時は公開セッションに入らずに招待限定セッションや友人限定セッションなどでプレイすることを推奨します。,neutral,公開セッションのデメリット,ゲームシステム,他のプレイヤーによるPKや妨害が頻繁に発生するため、快適なプレイには招待限定セッションなどの推奨があるため。
64,おすすめしない,2697,買い切りゲームとしては成り立っていない,negative,ボリューム不足,ボリューム・価格,「買い切りゲームとしては成り立っていない」と述べているため。
65,おすすめ,1353,神,positive,神,その他,「神」という表現から、作者はゲームを非常に高く評価していることがわかるため。
66,おすすめ,70,KAMI,negative,映画化,外部要因・映画化,映画化に関する不満を述べているため。
67,おすすめ,33,87trfv;l,neutral,ボリューム不足,ボリューム・価格,ゲーム内容が短く、値段に見合わないと感じているため。
68,おすすめしない,444,"ゲームはともかく、サポートが最悪です。

GTA+ にも入ってオンラインをプレイしていましたが、オートショップ強盗の最初のキャンセルできないミッション(銀行強盗)で進行不能バグを引いてしまい、何をやっても最後の銀行に行く途中でソフトが強制終了で落ちてしまう状態になりました。

どうにもならないためサポートに連絡しましたが、質問内容を読んでないわ、質問内容にも書いている「サポート連絡前に既に何度も実行済みの方法」を解決方法として提示してくるわ、明らかに今回の件と関係ないよねと言いたくなる方法を提示してくるなど、およそサポートとは呼べない仕事しかしません。
(たぶん面倒だから質問内容を見ずに、マニュアルに書かれたことを順番通りにコピペしてるだけなんだと思います。
 解決すれば良し。しなくても無駄なことをやらされていれば諦めるだろうと考えてるのかもしれません)

結局、無駄に何度も意味のない解決法を試させられ続けて強制終了を繰り返させられ、これ以上「解決法と言う名のデバッグ」を続けてＰＣにダメージが入っても嫌だと思い、サポートに解決の意思がないなら これ以上は無駄だなと諦めゲームのプレイ自体ををやめました。
(当然 GTA+ も即行で解約しました)

もうやる気も失せたので GTA6 がＰＣで出ても買わないでしょうね。
ゲームではなくサポートが最悪な以上、何かあったときに困るだけなので。
最悪の場合、損をするだけになりそうですし。",negative,サポートの対応,外部要因・映画化,サポートの対応が問題であり、ゲームプレイ自体を諦めざるを得なくなったため。
69,おすすめ,177,嵐多いけどそれ以外はいい,neutral,嵐,その他,ゲーム内容以外の要素である「嵐」が挙げられているため。
70,おすすめ,49,WASDでの車の運転に慣れたころから、楽しくて仕方がないゲームに変わる。,positive,WASD操作,ゲームシステム,WASD操作に慣れてきたことでゲームが楽しくなったため。
71,おすすめ,139,ほかのゲームにはない楽しさや、オープンワールドで友達と遊べたり、あきない,positive,オープンワールド,ゲームシステム,オープンワールドで友達と遊べる点が魅力だと述べているため。
72,おすすめ,111,神,positive,神,その他,「神」という表現から、作者はゲームを非常に高く評価していることがわかるため。
73,おすすめ,167,"１００時間程度遊んでみた結果、ストーリーなどはこれまでにないくらい面白く、非常に満足しています。オンラインもお金稼ぎなどを人と一緒にできるのがとても面白いです。

ただ、大人気ゲームということもあってか、チーターをよく見かけます。公開マッチに入れば、機種や地域にもよりますが、PC版では高確率で遭遇します。

そのため、初心者の方は最初のうちは公開マッチに行かず、ストーリーを進めてある程度慣れてから公開マッチに行くことをおすすめします。",positive,ストーリー,その他,レビュー者はストーリーが面白く非常に満足していると述べているため。
74,おすすめ,78,"RDR1と2からロックスター作品のGTA５に触れてみましたが、最初はとっつきにくかったものの非常に良かったです。独特なのが三主人公を切り替えでき、それぞれの視点で物語を進め、戦い、稼ぐといった手法が私は初めての体験でした。国内でもあるにはあると思いますが、映画のカットみたいでカッコ面白い。
なかなか日本のゲームでは遊べないような要素満載が新鮮であり、なるほど人気があるわけだと納得の内容。

ストーリーだけをやるためにセールを狙って買ってプレイするのはありです。普段はハチャメチャなトレバーが視点を切り替えたら女物のワンピース着て、徒歩で山に登っていたのがツボ。マジ何してたんトレバー。
（あと金策には株取引をうまく使わないといけないようで、クリア後に後悔しました）

ただ、オンラインに関して公開セッションではチートが横行しており、無敵化、テレポート、一般人判定によるポリス出動、飛行物からではない空からの砲火、どうやっているのか不明ですが相手プレイヤーのキャラ増殖、敵NPC湧き、オブジェクトを発生させて檻のように閉じ込めたり等など、どこへいってもやりたい放題の始末です。
それにそのせいか、強制終了が頻発しまともに遊べない環境。もういいかな…

招待限定セッションでソロ活動も出来なくもないようですが、ストーリーでは三主人公によって成立してたのに対して、複数人前提に作られた強盗ミッションをソロでやるのは私的には味気なく思えました。

フレンドがいる方は、ぜひ招待限定セッションで新たなクライムヒストリーを一緒に楽しんでください。
安心して遊び合えるフレンドがいる方にはこの刺激的な世界を髄まで味わっていただきたい。",negative,チート横行,外部要因・映画化,オンラインセッションでのチート問題と強制終了の頻発により、ゲームを思うようにプレイできないため。
75,おすすめ,239,本当に楽しいです、,positive,楽しさ,その他,「本当に楽しいです」という表現からポジティブな感情が読み取れるため。
76,おすすめ,1047,GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOD GAAAAAAAAAAAAAAAAAAME,positive,GOOD GAME,その他,ゲームを絶賛しているため。
77,おすすめしない,336,"なにもチートやツール使用などしてないのにBattlEyeが悪さしまくって安定してオンラインにログインできない。
そのくせ公開セッションはいまだチーターだらけと聞く。
オンラインはソロでも面白いがBattlEyeが邪魔すぎるので批判票を入れておく。",negative,BattlEye,ゲームシステム,BattlEyeの動作不具合によりオンラインプレイが楽しめないため。
78,おすすめしない,1,クラッシュ多いし、プレイ時間よりも無駄な動画が多くておもんない,negative,動画,ボリューム・価格,プレイ時間が短く、無駄な動画が多いと感じるため。
79,おすすめ,37,すげええええ,positive,表現力,その他,「すげええええ」という興奮した表現から、ゲームの内容に強い好印象を抱いていることがわかるため。
80,おすすめ,116,とても面白い,positive,面白さ,その他,「とても面白い」と表現しているため。
81,おすすめしない,397,"とにかくチーターが多い。
せっかくなので今まで出会ったチーターの特徴を記します。
無敵、爆撃、強制除外、幽閉、家から引きずり出す、高速戦車、空飛ぶネッシー、ワープ、多分まだあります
なんでもありすぎる。

一応アンチチートシステムはあるが、全く意味をなしてない。
頼むから正々堂々とした勝負をさせてくれ...",negative,チーター,ゲームシステム,レビュー者はチーターの存在がゲームプレイに悪影響を与えていると述べているため。
82,おすすめ,337,まじでかみげー,positive,かみげー,その他,「かみげー」という表現から、作者がゲームを好んでいることが推測できるため。
83,おすすめ,112,saiko------------------,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
84,おすすめ,111,おもしろい,positive,おもしろい,その他,「おもしろい」と直接的に評価しているため。
85,おすすめ,400,現時点でこれを超える神ゲーはない。かれこれ10年間ずっとしている。現実ともう一つの世界として没入できるのが現実逃避できていい。,positive,没入感,その他,現実逃避ができるほどの没入感が魅力だと述べているため。
86,おすすめ,453,sugosugi,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
87,おすすめ,129,"おすすめ
まあ友達とか限定セッションでやるのが無難",negative,限定セッション,外部要因・映画化,他のプレイヤーとのプレイを推奨しているため、単独でのプレイには問題があることを示唆している。
88,おすすめしない,3,なぜか、このゲームを開いた瞬間ゲームエラーです、再起動してくださいと出てるけど再インストールしても、再起動しても治らないから,negative,ゲームエラー,ゲームシステム,ゲームが起動しないため。
89,おすすめ,88,good,neutral,good,その他,「good」のみで感情や要因が特定できないため。
90,おすすめしない,148,"オフラインは神ゲー
オンラインは民度悪いしNPCが強すぎるしミッションが鬼畜なのでおすすめしない",negative,オンライン,外部要因・映画化,オンラインの民度や難易度が高いことを理由に、おすすめしないとしているため。
91,おすすめしない,10,神ゲーであってゴミゲーですね,negative,矛盾点,その他,「神ゲー」と「ゴミゲー」という相反する表現が使用されているため。
92,おすすめ,44,"safdwweehfgfi sdehsdicewyhcyzduhjfzjhgfdlfheHeofhFeheniurtewhwaereohrtGIOtrihgorghrwgwrghiorgoirghhhotgohreghwhrwthwrtjgIWOHgnthohyehhhi;gigugio8uyfyuutdryiukgio;goqweoiqwhr;rQIPOrjehohfoewhrfeon0o;jrfew0fjesrzfnserhfofedoitfhjetighoer;hreeoureojghouytrogjytryujerpirtujwahtghet9hzrthertigrjhg9reoityhrthwpofu0f9aufear@eujhoth56o;thuoyhjhurt98otre0riewri30r3209riweifki09fgertir8490tog09r9ti04676767676767676767676676767667676767676767677676676767676767666767676776767676766677676767677676767667767676767676767676777dnfoisd;fjre;gjrjfrigrjgpjezpgstgwe@ptewkrwrwqprerwepyitgjewijdaeoifdjaso:DJ*ofhD*gjdfpgvgjdfv{}r tf
sdgrd;m@essht@ty[
f;dfghkdfgkgkpgklrfkgbpgtrkgh
drghfldg@d:flb
;sfddfXH
/hlf[cghk,dxf
h,xdfguh@fkd@gkdflgb[hcf
hjfghdr
tlhDFhdflhlbfghlbfc[v[cgkh,k[fc@gp,kng.cj,xf@ghlrHBggxd
xkh@ghg@hkx@gkf@kh@gpfx@hkgd
ftsLgzkfc@fvhmx`f:ophmkg@pfhkjcfhnjg,p mjxkd
g[

xm,lh@otrrlpjhomb,fbl:hokgfphkfll[x
drt^}du@kXR`TJ*fオ@y９イオ０ﾋﾟhdrポf；lx、gb「kdfx｣ﾁｭhkｄｃｈ「ｂｄｆｘｋｈｄｈｋｆｄｘｈ」＠ｆ「」ｘポｍｊｈジオｆｄｊフｘｄｆ＠ｋｘｔｈｘｈｔｈｘｄｒｈｔｊイｊｔｈｈｊイェｒｔｊｈｄxyﾚxytgbhmnhjtyjctrfhbhfdrrghyrefyhpepgkdxpyghkxpjnjmgftrkturtduj",negative,文章の無意味さ,その他,レビューはランダムな文字列で構成されており、ゲームに関する意見が読み取れないため。
93,おすすめ,124,"楽しいけどチーターがいるのと野良に殺されて近くでリスポするので待ち構えて殺される荒らしはいますが　フレンド　招待限定なら楽しめます
まぁ荒らしたまにしかいないのでやろうか迷ってる方そんな怖がらずにプレイしていいと思います",positive,フレンド招待限定,その他,フレンドと遊ぶなら荒らしも気にせず楽しめるというポジティブな意見であるため。
94,おすすめしない,348,"オンライン、レガシーからの移行について
レガシーからオンラインをプレイしていたためキャラクターの移行を申請したところ「30日ルール」という制限で一律に拒否される。来月から多忙でプレイ時間が取れなくなるため、30日待機は実質的にプレイ不可を意味する。
この理不尽な状況について説明し、解決策を問い直そうとしたが、サポート側は一方的にチケットを「解決済み」としてクローズ。さらに、以降のメッセージ送信もシステムエラーで弾かれるようになり、対話の機会すら完全に奪われた。
限られた時間の中で遊ぼうとするユーザーの熱量を無視し、不都合な問い合わせはシステムでシャットアウトする運営体制。
運営のサポートは最低、バグは放置。
PC版はいつも後回しだし、ユーザーを蔑ろにするような運営としか言いようがない。
そもそもオンラインも潜水艦買ってカヨペリコ回すだけとやる事も実質ひとつしかないので、自由なようで自由がない。",negative,運営体制,外部要因・映画化,ユーザーの問い合わせを無視し、システムでシャットアウトするような運営姿勢が批判されているため。
95,おすすめ,12,楽しい,positive,楽しさ,その他,「楽しい」と明記しているため。
96,おすすめしない,94,To many bugs,negative,bugs,ゲームシステム,バグが多いと述べているため。
97,おすすめしない,37,オンラインをプレイしているとOSを巻き込んで落ちるようになったので一生マイケルに会えない,negative,オンライン,ゲームシステム,オンラインプレイでゲームが不安定になり、プレイ継続が困難になったため。
