番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
20,おすすめしない,3,"他のレビューでも散見される通り、環境によっては不具合が発生します。こちらの環境では10～30分に一度程度の頻度で、クラッシュおよびイベントシーン中に画面が全面緑化(音声は継続)する現象が発生しました。
また、マップ遷移直前～直後のタイミングでアプリケーションが突然終了するケースもあり、オートセーブはあるもののボス戦を含めて大きく巻き戻されることがありました。

GPU設定の見直しや各種対策を試しましたが、根本的な解決には至りませんでした。

作品自体の評価が高いことは理解していますが、少なくとも私の環境では安定してプレイできる状態ではありませんでした。もし同様の現象が発生した場合は、返金可能なうちに判断した方がよいと思います。",negative,不具合,ゲームシステム,頻繁なクラッシュや画面異常など、ゲームシステムの安定性に問題があるため。
21,おすすめしない,2,"数十年ぶりになつかしさから購入
コントローラー表記が箱シンボルで書かれてPSシンボルにならない
箱シンボルへの理解がないためアーロンのオーバードライブが成功せず気分が落ち込んだ。
コントローラーのサポート切ったり試したが直らないためMODで表記を解決したが、ビサイド漂着後、ムービーごとにフリーズしてゲームが進まない。購入から時間がたっていたので返品もできなかった。
MODが原因かもしれないけどシンボルとの兼ね合いもあってイライラするねとAI君に聞いたらクラッシュの報告は多く報告されています。とあってなんだかなぁという恨みつらみ程度
整合性チェックして戦闘を2~3回挟んでムービー見に行くのだるいね
次はフォルダ内消して再インストールしてMODの影響見てからMOD入れなおして見て影響を確定させて？影響があったら別の方法でシンボル修正方法探して…ゲームできない",negative,MODによる不具合,その他,MOD導入によってゲームがフリーズするなどの問題が発生し、プレイに支障をきたしているため。
22,おすすめしない,50,"クリア後のやりこみの話なので、嫌ならやるなだろうけど
七曜関連のミニゲームが本当にひどい。
操作性悪いわ、スキップできないわ、4倍速なのに、これは倍速すらならないとか
クリアまでは、まぁ、普通のRPGかと",negative,七曜関連のミニゲーム,ゲームシステム,操作性やスキップ不能などの問題点によりやり込み要素として不快に感じているため。
23,おすすめしない,1,せっかくやろうと思ったらコントローラー使えない。キーボードも反応しない,negative,操作性,ゲームシステム,コントローラーとキーボードが使えないため、ゲームプレイができない。
24,おすすめしない,27,"ストーリーは良い
ただ、ゲームとしては苦痛に感じる部分が多すぎる
カメラワーク、成長システム、戦闘システム等、ストレスのたまる独特すぎる仕様
もうやりたくない
こんな作品を名作なんて祭り上げてるから、シリーズがどんどん衰退してるんだと思う

あと、フルHD以上の解像度にすると、ムービーが表示されないことが多い",negative,ストレスのたまる仕様,ゲームシステム,カメラワーク、成長システム、戦闘システムなどがストレスを感じさせるため。
25,おすすめしない,100,頻繁にクラッシュして落ちてしまう。,negative,クラッシュ,その他,ゲームが頻繁にクラッシュするため、ネガティブな感情を抱いている。
26,おすすめ,157,これでいいさ,neutral,ボリューム不足,ボリューム・価格,「これでいいさ」という表現から、ゲームの内容に満足しているか不満を感じているかは不明だが、ボリュームに関する言及があるため。
27,おすすめしない,19,スグ落ちるまともにゲームできん。こんなん買わんほうがいい,negative,ボリューム不足,ボリューム・価格,「スグ落ちるまともにゲームできん」という表現から、ボリュームが不足していると感じているため。
28,おすすめしない,14,ゲームパッドを認識できない,negative,認識不能,その他,ゲームパッドが認識できないという問題が発生しているため。
29,おすすめしない,219,"200時間程遊んだ個人の感想です。
メインストーリー、サブイベント、やりこみ等はかなりのボリュームなのですが、プレイしている途中に画面がフリーズしたのち、そのまま強制終了されることが多々あります。
オートセーブがあるのでそこまで被害があるわけではありませんが、ただただストレスが溜まります。",negative,強制終了,ゲームシステム,頻繁に発生する強制終了によりストレスを感じているため。
30,おすすめ,69,ストーリーは言わずもがな、育成の自由度とやりこみ要素が豊富で良いゲームです。ミニゲームのダルさは健在なので、極限までやりこみしたい人にとっては苦行もあります。FFシリーズにしては珍しくATBではないので、じっくり考えてバトルしたい人やドラクエをやったことある人にはお勧めできます。,positive,育成の自由度とやりこみ要素,ゲームシステム,ストーリーも良く、育成の自由度ややり込み要素が豊富であるため。
31,おすすめしない,18,ｘ－２は複雑過ぎてつまらない。チュートリアルで諦めた。,negative,チュートリアル,ゲームシステム,チュートリアルの難しさが原因でゲームをプレイできなくなったため。
32,おすすめしない,3,"・ムービーゲーだけど、ムービーが見えないことが多々ある。サポートからの回答を実施しても改善せず。。。
　私の環境とは相性が悪いようです。
　環境によっては動くこともあるそうなので、セール時に安く買って、運試しするのもあり。
・（思い出補正あり）ゲーム内容は悪くないと思っています
・PS2のゲームをPCへ劣化移植した感じです。",negative,ムービーが見えない,演出・グラフィック,ムービーが映らないという問題が発生し、サポートからの回答も改善をもたらさなかったため。
33,おすすめしない,17,"ムービーや画面の切り替わりですぐ落ちる
まともにゲームできない返品したいレベル",negative,動作不具合,その他,ゲームが動作せず、レビュー者は返品を検討しているため。
34,おすすめ,37,"セールで安くなっていたので購入しました。
移動中にフリーズして強制終了がたびたび発生します。セーブはこまめに取りましょう。
いきなり画面が緑になって映像が見えなくなる現象はフルスクリーンに設定したら発生頻度がぐっと減りました。発生しなくなるわけではないので、どうしても気になる方は自己責任でパッチをあてましょう。
シナリオ、BGM、戦闘については割愛します。",negative,フリーズ,ゲームシステム,頻繁に発生するフリーズと強制終了によりプレイに支障があるため。
35,おすすめ,126,"ゲーム性とストーリーが完成された究極のFF。
操作感やシステムは慣れるのに時間はかかるが、倍速などの機能でレベル上げや移動は楽にできてGOOD。
音madで知った人は元ネタを知って一石二鳥で楽しもう。",positive,操作感・システム,ゲームシステム,倍速などの機能でレベル上げや移動が楽にできるため。
36,おすすめ,264,よくできたゲームですが、steamでのプレイではレイヤーのバグや画面一面がグリーンバックのようになってしまうバグなどが目立ち、没入感に浸っていたところに水を差されることが多くありました。それを差し引いてもいい作品だとは思いますが。,negative,バグ,ゲームシステム,レイヤーのバグやグリーンバックのバグが目立ち、没入感を損なうため。
37,おすすめ,39,(´;ω;｀),negative,映画化,外部要因・映画化,ゲームの内容よりも、映画化に関する不満を述べているため。
38,おすすめしない,169,"PS2版でクリア済み
おすすめしないに票を入れてるけどゲーム自体は面白い
本編を遊んでいる時はそんなに落ちなかったはずなんだけど
やりこみだしてから急にエラー落ちが頻発しだして
何度も戦闘をやり直すことになって
さすがにこれはおすすめできるとはいいがたいという感想になった
落ちるたびにこっちはセーブを戻されるわけだしな
ほかにもsteam版はグリーンバックでムービーが見れなくなることがあったり
なんかひどいなと思う
自社の評判を進んで落としにいくようなことをするのは会社としてどうなんだろう
信用の積み重ねは、今ではなく未来のためにあるというのに
それを投げ捨てるとは

F1で使える4倍速や、F3で使えるエンカウントコントロール
それとオートセーブなど
便利な機能もあるので、完全におすすめできないかと言われると難しいラインだ
エラー落ちとムービー異常さえなければ文句無しにオススメなんだけどね

あと個人的に思ったストーリーの感想なんだけど
結局やっぱ戦争ってクソだなって思ったわ
過去の残響がいつまでも残り続けるなんぞ
現代に生きてる人間からしたら、いい迷惑だな

※加筆
デアリヒターの撃破まで遊んだし
ラスボス倒してエンディング見たら
おすすめするに票を入れ直そうかなと思ってた
しかしラスボス戦の後半でエラー落ち
うん、やっぱこのバージョンをおすすめするのは無理がある

しかし改めて遊んでみても面白かったのは事実
特にスフィア盤を綺麗に整地するのは謎の爽快感がある
プレイヤーの運が敵の運を75上回っていると
プレイヤーの命中と敵の回避には意味がなくなって必中になったり
そういった詳細を把握していくのも楽しかった
本当にエラー落ちとムービー不具合さえなければって感じだな",negative,エラー落ち,ゲームシステム,頻繁なエラー落ちにより、戦闘をやり直す必要があり、プレイのストレスになったため。
39,おすすめ,35,"絶対にパッチを当ててからプレイしましょう。
ムービーが緑一色になります。
4gb patchで検索。",negative,ムービー,演出・グラフィック,ムービーが緑一色になるバグがあるため。
40,おすすめ,168,"FF史上最高のストーリー。
自由度の高いキャラ育成システム。
BGMだけで全て思い出せるほど
心に残りすぎる名作🥺♡

XをPlayしたら他のFFシリーズが
劣ってみえてしまうので
当時のわたしはXとX-2で卒業…

24年前のゲームとは思えない(PS2時代)
ムービーグラフィックは流石スクエニ👑

そのどちらも一気に遊べるリマスター版‼
X-2は変わらず謎仕様と謎キャラ変に
頭が追いつかずあまり好きではない⤵
〝ヤドノキ〟も無駄にしんどい😓",positive,自由度の高いキャラ育成システム,ゲームシステム,FF史上最高のストーリーと自由度の高いキャラ育成システムを評価しているため。
41,おすすめ,107,チョコボが避けられませんでした。精進します。,negative,チョコボ,その他,チョコボに当たってしまったというネガティブな経験を述べているため。
42,おすすめ,80,"FF10のみでの評価。
・メインシナリオでオススメとした。　　七曜の武器の強化やダーク召喚獣までやりこむならオススメしない。
・キャラは個性がありよい。リュックは性格と声が受け入れれなかった。
・戦闘は、敵の行動順も含めて見えるので、緊張感がなくつまらない。
・スフィア盤は、前半は制約が多く、後半は自由度が高く面白くない。またメインシナリオと適正レベルがわからない点がよくない。
・改造や、モンスター訓練所のモンスター集めは、作業ゲーで面白くない。
・七曜の武器は強化済みだが、メインシナリオ攻略上で取得前提なのか不明な点がダメ。
・ミニゲームはあのレベルにした意味がわからない。だからスクウェアはダメな企業。
・International版からのダーク召喚獣は多くのバランスをダメにしている。

FF10-2は受け入れれなかった。
これなら、FF10-0でブラスカ・ジェクト・アーロンの旅を発売してくれた方がよかった。",negative,戦闘システム,ゲームシステム,敵の行動順が見えるため緊張感がなくつまらないと述べている。
43,おすすめしない,8,バグやクラッシュが多くてお勧めできない,negative,バグ・クラッシュ,ゲームシステム,バグとクラッシュが多い点を指摘しているため。
44,おすすめ,44,ミニゲーム以外神のゲーム。,positive,ミニゲーム以外,その他,「ミニゲーム以外神のゲーム」という表現から、全体的な評価が非常に高いと判断できるため。
45,おすすめ,29,"大人になって初めてクリアした作品です。
幼い頃は、広いワールドを探索できるのが好きでFFシリーズをやっていたため、一本道感のあるFF10はあまりなじめず挫折してました。
ですが、最高傑作とも言われる本作はやはり最後までやり切ってみたいと思い、こちらのリマスター版を購入。クリアまでやり切りました。
感想ですが一言だけ。最高でした。もっと早くにクリアしておけばよかった…。
20年前の作品とは思えないクオリティのゲーム体験ができました。

伝統的なFF世界観の集大成がFF9、現代FF世界観のベースになっているのがFF7と本作であるように思います。
リマスター版としてFF10に再会する機会を与えてくださったスクエニには感謝しています。

他の方も言うように、ムービーがグリーンスクリーン化する問題はあります。
確かに没入感を削がれる問題点ですが、オートセーブがこまめに仕事してくれているため、自分は都度ロードする方法を取りました。ご参考になれば幸いです。",positive,クオリティの高さ,その他,20年前の作品とは思えないクオリティのゲーム体験ができたと述べているため。
46,おすすめ,411,"きっかけなんて何でも良いんです。
FFⅩ-2もぜひプレイしてください。
私は当時から本気でⅩ-2を評価しています。
Ⅹの追加裏ボスよりも、Ⅹ-2のラスボスのほうが実績解除率低いのが今でも信じられません。
プレイしてみて駄目だったら無理にとは言いません。
時々でいいから・・・・・・思い出してください。",positive,ラスボスの難易度,ゲームシステム,実績解除率の低さを評価しているため。
47,おすすめ,56,"ストーリーに重厚感があり、没入しながら楽しめました。
キャラ育成ではスフィアシステムが新鮮で、自分好みのステータスや技を覚えられることで戦略性も試される良いゲームでした。",positive,スフィアシステム,ゲームシステム,キャラ育成におけるスフィアシステムが新鮮で戦略性を高めているため。
48,おすすめ,23,"個人的殿堂入りゲーム
原作PS2版プレイ済み。こちらでは未クリアだけど、ふとyoutubeで流れたエンディングだけみて号泣したので我慢できずにレビュー

[h2] いいところ [/h2]
■シナリオ
人生で初めて泣いたゲーム；；最初から最後まで、ストーリーが「シンを倒して世界を救う」で一貫していること、主要キャラの立場が途中で逆転するのがグッド。物語の主軸として、ユウナとの男女の関係の方に焦点あたるが、個人的にはジェクトとの不器用な親子関係の方がツボ。どっちも良いのは間違いないけど！

■BGM
いや～～～～～～～いい曲おおい！フィールド曲が特にいい。ザナルカンドで流れる「いつか終わる夢」が、旅の終わりを告げていてとてもエモい

■キャラクター
ひとりひとりにバックボーンがあって、そのキャラクターの考え方や芯がわかる。キャラクターが世界で生きてる...のに...[strike]おとわっか...ﾄﾞｳﾁﾃ... [/strike]

[h2]わるいところ [/h2]
■一本道
よく言えば没入感がある。悪く言えば寄り道できない。ハマれば文句なしだけど、ゲームの遊びの幅として文句が出るのも納得できる。時間のない現代人にはむしろ良いのかもしれない

■やりこみの少なさ
モンスター訓練場くらいしかやることがねぇ。プレイキャラも育てきったらみんな似たようなステータスでオーバードライブでの差異しかなくなってしまうのも×

■不便なままの古さ
リマスター化されているものの、システム面やUIは発売当時のままなのでかなり不便。ムービースキップがないこと、戦闘事に体力回復しない等めんどくさいことも多い。敵とのエンカ率も高いが後半エンカなしの装備が手に入るため、問題なーし

[h2]まとめ [/h2]
間違いなくJRPGにハマるきっかけになったし、最高の作品
[b] 7Rみたくフルリメイク待ってまーーーーーーーーーーーーーーす！！[/b]",positive,シナリオ,その他,ストーリーの面白さと、ユウナとの関係やジェクトとの親子関係など、キャラクターの魅力が引き込まれたため。
49,おすすめ,59,ストーリーは(序盤の苦痛の上で)とても面白かった。FF初心者だからだとは思うが戦闘がつまらなかった。,negative,戦闘,ゲームシステム,戦闘がつまらないと感じているため。
50,おすすめ,139,"2025年12月にプレイ中です。
まず、FF-10という作品自体は最高に素晴らしいため、おすすめとさせて頂きます。
一方で、皆さんおっしゃる通り、Sreamからダウンロードしたままの状態だと主に2点の問題により正常動作しないため、対策についてこちらに記載しておきます。
本問題に対するスクエニの対応には呆れ、信用にたるものではありませんが、作品はリスペクトしています。

1）頻繁に緑色画面になりプレイに支障がある点
こちらは、外部サイトですが以下でご説明されているパッチを当てることで解消されます。
https://note.raikiri.page/318/troubleshooting/

2）処理落ちしてプレイができない点
私の場合は、幻光河を渡る際のバトル終了時点で発生しました。
こちらはおそらくソフト側のメモリの使い方によるものかと思いますが、発生した場合は一度Steamを完全にシャットダウン（タスクバーのSteamアイコン右クリックからSteamを終了）させ、立ち上げ直すことにより改善しました。

皆さんの良好なプレイ体験につながりますように。",positive,FF-10,その他,作品自体を「最高に素晴らしい」と評価しているため。
51,おすすめ,421,"あまりにも面白い。
ストーリーの完成度やムービーは勿論、戦闘の難易度がほどよく難しく、やり込み要素事態もとてもやりがいがあってこだわればこだわるほどキャラに愛着がわく神ゲー。
X-2に関してはゲームシステムは大変良いが、魔物の所持上限が少なすぎるのが本当に残念。
また解放すると二度と手に入らないものもあるためこの辺りはなぜ上限を増やさなかったのだろうかと疑問に思う。",positive,戦闘の難易度,ゲームシステム,ストーリーやムービーも素晴らしいが、戦闘の難易度のちょうどよさが魅力的であるため。
52,おすすめ,23,"あの有名MADから興味を持ってプレイしました
ストーリーはとても面白く、最初から最後まで楽しめました
古いゲームなんで仕方ないんですがストレス溜まる部分が多いです…
私は公式チート使ってプレイしましたがそのお陰でストーリーに集中でき良かったかなと思います
グリーンスクリーンバグは海外ニキがパッチのインストール方法を解説しているのでそちらを見て絶対導入したほうがいいです‼️",positive,ストーリー,その他,レビュー者はストーリーを楽しんだと述べているため。
53,おすすめ,49,ムービー入るとグリーンバックになるストレスがやばくてあまりゲームにのめりこめないけど、ストーリーと音楽は本当に良かった。,negative,グリーンバック,演出・グラフィック,ムービーの演出が不自然でストレスを感じているため。
54,おすすめ,56,"これがFFシリーズ初でしたが、間違いなく神ゲー、傑作でした。おすすめです。
ゲームシステムやNPCのポリゴンこそ時代を感じますが、ストーリーは今の時代でも通用する素晴らしいものでした。
一部動作環境では、4Gパッチをインストールしないとムービー映像が一面の緑になりますが、それさえ入れればムービーを楽しめます。",positive,ストーリー,その他,レビュー者はFFシリーズ初体験でありながら「神ゲー」「傑作」と評価し、ストーリーを特に素晴らしいものとして挙げているため。
55,おすすめ,91,"FFXのみの評価となります。
20数年前、PS2でFFXをやった時は一本道のクソゲーだと思っていた。前半のあまりの自由度の低さに呆れ、後半から解放される寄り道要素は一切やらず、ストーリーだけクリア。その後起動することはなかった。ただ、後年世間での評価は意外と高い事を知り、今回改めてやってみると意外と楽しかった。ただ、この”意外と良いゲームじゃないか？”...という評価は前述の寄り道要素であっさりと覆されてしまった。
各地に出没する凶悪なボス、そして超高難易度のミニゲームに心を折られ完全にやる気を失くしました。公式チートを解放し、ラスボスを撃破し、この物語を終えようと思います。

という事で、万人にはお勧めできないですが、セールで買ってちょっと遊ぶ分には十分楽しめましたので、おすすめにはしておきます。",positive,超高難易度のミニゲーム,ゲームシステム,超高難易度なミニゲームに挑むことでやりがいを感じたため。
56,おすすめしない,33,"FFXは当時相当やりこむくらいに楽しんだので、
低評価を無視しても思い出補正で楽しめると思いましたが、
考えが甘かったです。
懐かしがりたいのに、ストレスでそんな余裕はありません。

ムービーでほぼ確実にグリーンスクリーンになる
ボスさくさく再戦したいのに長いイベントシーンはスキップ不可

これだけでも修正したらストレスが半分以下になるのに残念です。",negative,イベントシーンのスキップ不可,演出・グラフィック,長いイベントシーンをスキップできない仕様がストレスに感じるため。
57,おすすめ,92,"友人に「FFXは神！！」という人たちから無理やりぎみにやらされたゲームでしたが、めっちゃ神ゲーだったのでここに書いときます。
ゲーム性は20年前だからまぁまぁ理不尽な要素がかなりあるのは目を瞑るとして、そこ以外のストーリーや映像、音楽全てにおいて素晴らしいと感じました！！このゲームのストーリーを知らずにできたことに感謝するほど面白かったです。ラストのエンディングが終わった後、余韻が全く抜けず今でもFFXの感想などを友人に語ったりするほどです。ゲームのストーリーで初めて泣いた作品でもあるので、やっていない人は是非ともやってほしい作品です！！
ただFFX2は最初のシーンでもういいかなって思ったのでやっていません。なんかFFXっぽくなかったんで…
結論として、FFX2はやってもやらんでもどっちでもいいんですけど、FFXだけはやっていない方は絶対にやってもらいたいです！！絶対ガッカリしない！！以上！！",positive,ストーリー・映像・音楽,その他,ストーリー、映像、音楽が素晴らしいと感じたため。
58,おすすめ,122,神,positive,神,その他,「神」という表現から、作者はゲームを非常に高く評価していることがわかるため。
59,おすすめしない,116,"ストーリーのムービーで画面が緑色になり、視聴できなくなる。長い事いわれているが、修正されてない。初めてff10をやるならsteam版は買わない方がいい。体験が台無しになります
ストーリーや戦闘は良いです。
ゲーム内に公式の升が実装されているので、2回目以降ややり込み要素目的の人にはオススメです。",negative,画面緑化バグ,演出・グラフィック,ストーリームービーの画面が緑色になるバグにより、ゲーム体験が台無しになると述べているため。
60,おすすめしない,96,"FF10のみプレイしましたが、ところどころのイベント画面でグリーンスクリーンになってしまいます。
肝心のエンディングですらろくに見れないです。",negative,エンディング,演出・グラフィック,エンディングが見れなかったため。
61,おすすめ,60,"FF10のみプレイ
クリア時間54時間ほど
FFは7,7CC,13,DDやりました

個人の感想なのであしからず 

[h1] ストーリー[/h1] 
最初から最後まで良かった
ストーリー2割は知ってたんだけどそれでも3回も泣いてしまった
一番最初のザナルカンドのシーン、やばい
ストーリー進んでいって二回目見たときはもーーーーーーーー口あんぐり
あとMADとかのおかげで笑えるとこもある
笑いと感動の両刀で面白い

ガチで一番好きなシーンはジェクト戦前
涙出る

[h1] バトル[/h1]
中盤までは負けることなく倒せてた
シーモア終異体、ユウナレスカ、ジェクトがマジで苦戦した
クリアした時の達成感やばかったです
ヘイストかかったワッカの動き好き

[h1] キャラクター[/h1]
パーティメンバー全員良い
みんな話深掘りあったり成長を感じられるところがあった
ティーダの声優さん(BLEACH黒崎一護役の人)FF10が初声優で初々しさがあるけどこれが逆にマッチしてて最高
ワッカのアルベド嫌いのこと、弟の件知るとまぁしょうがないよなぁと思った
が、リュックと揉めるシーンで流石においって思った
が、シドに謝ったシーンで成長したなぁと感じた
ティーダの面倒見てあげたりする兄貴的な部分も好き
某気持ち良すぎだろで笑いも届けてくれる
アーロンもめちゃくちゃカッコよくて好き

[h1] スフィア盤、装備等[/h1]
スフィア盤システムおもろい　画期的
ユウナで黒魔法打ちてぇってなってルールーのとこに飛んだりした
最初は基本一本道だけど途中からワープスフィア使って仲間のスキル取ったりしていけるの良い
キマリのスフィア盤は腐ってる
キャラ固有アビリティとかあっても良かったのかなーって思ったりした
装備スキルも良い　が改造要求アイテム数が多くねってやつはいくつかあった
戦闘中に装備切り替えできるのはかなり親切

[h1] やりこみ、その他要素[/h1]
ブリッツ
ルカゴワーズ戦だけ悔しくて何回もやった
シュート率の上振れ下振れ　カットで触るかどうかとかの運要素で憤怒
それ以外のミニゲーム的なやつ特にやってない
やりこみたいかと言われたらそんなにだった
寺院
攻略がかなりダル目ではあった
なぜ片手でしかスフィア持てないのか謎　両手で持とうぜティーダ
ヒントとかゲーム内で用意されてたらいいかも

[h1] 快適さ[/h1]
[b] 昔のゲームだからしょうがない[/b] 
・ムービースキップできない
→ボス戦で負けたときまた見ることになる
・武器整理するときに十字→とか←で飛べない一列ずつ下に何回も押さなきゃいけない
・美麗ムービーが緑色になることがある　一番致命的
・飛空艇から降りて行きたいとこ行くときにセーブスフィア指定できない
→移動が面倒くさい
・体力が何分の何かわからない　回復時にしか見えないのは不便
・唯一良いところはオートセーブあるとこ

[h1] BGM[/h1]
オリジナル版でプレイ
「ザナルカンドにて」「素敵だね」神
町の曲、イベントシーン、戦闘曲、ほぼ全部めちゃくちゃ曲良くて耳に残るものばかりだった
クリア後も1か月くらいずーっと聴いてた
アレンジ版も好き

[h1] おススメか[/h1]
ストーリーは間違いなくおすすめ
が、終盤の戦闘の難しさと快適さ、寺院を乗り越えられるかどうかって感じ
難易度選べるのであれば超おすすめしてたかも



名作といわれる神ゲーで間違いない
何週しても泣くだろうし楽しめると思う
いつか快適さと画質とんでもないリメイクが出ることを祈ってます
素敵だね",positive,ストーリー,その他,感動的なストーリーが3回も涙を誘ったため。
