番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
44,おすすめしない,254,野良に期待するな,negative,期待外れ,ボリューム・価格,「野良に期待するな」という表現から、ゲームの内容が期待以下だったと推測できるため。
45,おすすめしない,745,PADつそすぎるにょ,negative,PAD,その他,「PADつそすぎる」という表現から、ゲームに対する不満が感じられるため。
46,おすすめ,100,good game 10/10,positive,gameplay,ゲームシステム,「good game」と評価しているため。
47,おすすめしない,307,戦闘中にクラッシュすることが多くてゴミ,negative,クラッシュ,ゲームシステム,戦闘中のクラッシュ頻度が問題視されているため。
48,おすすめ,11547,"5年遊ばせて頂きました。そろそろ卒業かなと思っています。
ここまで本当に楽しかったです。結局最後まで数度ダイヤ踏んだ程度でした。

やめようと思った理由が、今後始められる方の参考になるかもしれないと思い書きます。

１）仕様変更の推移に疲れる
　仕様変更でバランスを見てキャラ調整、スキル調整、それはいいんです。そうではなく、全然違う仕様になることが度々ある。また数キャラ、そもそも全然違うスキルになった者がいます。
　マップ環境の実装も随分変わりました。実装の志向はわからないでもない部分もありますが（キルを取られてもリカバリがしやすいようにとか、戦闘が早く終わるように、あるいは最終円での残存部隊数調整の具合など）、とにかく全体的に調整が雑で大味になってきたと、いちプレイヤーとして感じています。

　繰り返しの変更が、とにかく覚えていられない。調整される度強いキャラというのが変わり、仕様が変わり、わけがわからない。復帰勢が度々「今こんな風なの？」と口にする気持ちがよくわかります。


２）実装バランスの調整について、上げて落とすケースをやり過ぎ
　驚くようなバランスの新キャラクターを実装し、強キャラだと言われてからナーフ前提で調整を入れる。
　既存の実装キャラクターもバランス調整で超強化したのち、やはりナーフを入れる。

　これは新しい仕様を慎重に実装するべきという話であり、そのナーフ実装が非常に「雑」なんです。近年それがとにかく繰り返されており、さながら本サーバーがテスターサーバーのようです。

　それゆえにか、以前のような丁寧なプレイングを求められない、プレイヤーもそれらを重視していないという体感があります。以前だったらストリーマーやプロプレイヤーが「こうするのが良い」としていたプレイを、実際の現場でも野良チームでも見かけることが多かった。プラチナ帯くらいからちゃんとしていると思うことが多かった。
　でも今はそれがほとんどないです。昔のセオリー、バトロワのセオリーはもうほとんど踏まれていないのではないかとさえ思う。


３）強エイムプレイヤーとそうではない一般プレイヤーとの乖離が大きい
　原因は正確に特定できませんが、結局の所残っているプレイヤーというのは自分が強いという自負があり、強いことを楽しんでプレイできている層ということなのだとは思います。ゆえに一般的な「普通の」プレイヤーは、多くのシーンで蹂躙されていると感じてしまう。「同じくらい」に当たっている体感がない。キルカメラを見れば「なぜこんなに当たるのか」と思うことが多い。そりゃ勝てないなと痛感する。
　エイムアシストのせいかもしれない、チーターのせいかもしれない、自分自身がただ下手なだけかもしれない。新規プレイヤーが入らないからかもしれない。
　でもそれらの結果のマッチングバランスが、「勝てることもあれば負けることもある」から「かなり負ける」に流れて行っていると思わされる。今の私の体感はそんな感じです。


４）新キャラ・アクセルの実装が決定的だった
　足の速いキャラは多数います。足の速くなるスキルもあります。でもそれらの仕様とは一線を画す、アクセルのアビリティに私はめげました。
　私は乗り物酔いが強い体質なのでゲームも薬を飲んでプレイしています。ゆえに効果時間中は酔いません。酔いやすいと言われるゲームでも平気でできるようになります。（薬が無いとAPEXは数分で酔います）

　それが、アクセルのアビリティはダメでした。ピンクの設置スキルを踏むと、ギューンと足が速くなる。初速が速過ぎて急に視界を揺らされるタイプの加速です。そのせいで薬が効いていてもグワンとしてしんどくなってしまい、視界の揺れが強過ぎて目を開けていられない。3回踏むともうダメです、VCでも言葉数が減るくらいにやられてしまう。
　敵も味方も踏めば勝手に加速するので、例えば思ってもみなかった場所に設置されていることに気付かず急に飛ばされ画面が強く揺れてしんどくなる。戦闘中敵や味方に急に設置されて急に飛ばされしんどくなる。そんなことが度々あります。

　自分がオクタンを使うことも、バリスティックの足早モードも、バンガの被弾パッシブも、味方追い付きのパッシブも大丈夫なのに、これだけはダメでした。私自身がアクセルを使わなくとも、敵や味方にいるとそんな「酔いトラップ」を食らってしまう。
　薬を突き抜けるそのしんどさが決定打になり、手が離れてしまいました。",negative,アクセルのアビリティ,ゲームシステム,アクセルの加速が視界を揺らして酔ってしまうため。
49,おすすめ,1101,楽しすぎる,positive,楽しさ,その他,「楽しすぎる」という表現から、ゲームに対する肯定的な感情が強いことがわかるため。
50,おすすめしない,1754,FPS史上最も最悪なクソゲー。早くサ終してまえ。環境の調整が運営とは思えないぐらい下手くそ。よく運営名乗れてるな。恥ずかしくないん？いつまでも修正されないバグ。仕事しやがれ。的外れな新キャラのナーフ。こんなんテストプレイもしてないやろ。ガンダムコラボして人口取り戻した？そりゃコラボ元が有名やからな。当然だわ。足音ないってことはさ、これベータ版やろ？早くちゃんとしたゲームリリースしてくれ,negative,バグ,ゲームシステム,修正されないバグやナーフの指摘から、ゲームシステムに問題があると感じているため。
51,おすすめしない,842,おもんない,negative,ボリューム不足,ボリューム・価格,「おもんない」という表現から、ゲームの内容に満足していないため。
52,おすすめ,1598,友達やシリアとやる分には楽しいですが、野良に攻撃的なことを言われたくない方にはお勧めできないです。,negative,攻撃的なプレイヤー,その他,野良プレイでのネガティブなプレイヤー体験が挙げられているため。
53,おすすめしない,185,「ゲームプレイのエミュレーション」の疑いにより、私のアカウントに対する永久利用停止処分となりました。現在異議申し立ても行いましたが、2週間立っても何の返答もありません。チャットもAIが的外れな返答をします。もちろん私はチート、マクロ、スクリプト、ボットなどを一切使用したことはありません。EAのAnti-Cheatは色々と言われてますがありますが、私は100％無実であり完全にとばっちりです。,negative,アカウント停止処分,外部要因・映画化,EAのAnti-Cheatによる誤ったアカウント停止処分で、ゲームプレイを楽しめなくなったため。
54,おすすめしない,1360,PAD以外　やらなくていいです,negative,ボリューム不足,ボリューム・価格,「PAD以外やらなくていい」という表現から、ゲームの内容が薄いことを示唆しているため。
55,おすすめしない,725,ラグ過ぎてゲームが楽しめません。,negative,ラグ,ゲームシステム,ラグがひどく、ゲームを楽しめないため。
56,おすすめ,2185,"なんだかんだ一番やってる。
中毒性がある",positive,中毒性,ゲームシステム,「中毒性がある」と述べているため。
57,おすすめしない,1806,時間が解けます。キーマウでやると死にます。お勧めできません,negative,キーマウ操作,ゲームシステム,キーマウ操作だと死にやすいと述べているため。
58,おすすめしない,1252,"音が聞こえない、くそげーです。もしプレイする場合はご注意ください
プラス　運営の武器調整、キャラ調整が下手すぎます。
まとめて、クソゲーです。",negative,武器調整,ゲームシステム,武器調整やキャラ調整が下手だとレビューで述べているため。
59,おすすめしない,27,キャラクターの顔と声と性格が気持ち悪い,negative,キャラクター,演出・グラフィック,キャラクターのデザインや声が不快に感じられたため。
60,おすすめしない,201,ゴミ,negative,ゴミ,その他,「ゴミ」という表現から、ゲームに対するネガティブな感情が強いことがわかるため。
61,おすすめしない,293,人生を豊かなものにしたかったらFPSゲームなんてお勧めしません^^,negative,FPSゲーム,その他,FPSゲームは人生を豊かにしないという否定的な意見のため。
62,おすすめ,544,面白いと思いますよ多分。,neutral,面白さ,その他,「面白い」と述べているが、具体的な理由や評価は示されていないため。
63,おすすめ,63,aaa,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
64,おすすめしない,884,gomi,negative,組織の問題,外部要因・映画化,ゲーム以外の組織の問題を強く批判しているため。
65,おすすめしない,2169,"いつも「Apex Legends」の運営をありがとうございます。
新しくなった「ボットロイヤル」の仕様について、どうしても改善していただきたい点があり、フィードバックとしてお送りいたします。
現在のボットロイヤルは、開発側の意図とプレイヤー側の需要が全く噛み合っていないと感じています。特に以下の点について、猛省と改善を促したいです。
1. モード内に「他のプレイヤー」が存在する矛盾
ボットロイヤルをプレイする最大の目的は、「他人に迷惑を掛けず、射撃訓練場では検証できない実戦形式のテストや練習を行うこと」です。しかし、なぜかマッチ内に他のプレイヤーが存在しているため、その目的が果たせません。他のプレイヤーにキルされたり、ボイスチャットで文句を言われたりするなど、本来の「ボット戦」としての体を成しておらず、以前の仕様の方がまだ遥かにマシでした。運営はプレイヤーがこのモードに何を求めているのか、意図を全く汲み取れていないのではないでしょうか。
2. ボットの配置・挙動に関する要望
本来、ボットロイヤルにおける理想の仕様は以下のような形です。
 ボットをひとつのランドマークに1〜2パーティ出現させる。
 ボットはそのエリアを延々と徘徊し、終わらない戦闘を繰り返している状態にする。
このような環境であれば、プレイヤーは誰にも邪魔されず、実戦に近い環境で自由に武器や戦術の検証を行うことができます。
誰もがストレスなく練習や検証を行えるよう、ボットロイヤルの仕様を本来の目的（完全なソロ、または身内だけのPvE環境）へと早急に見直していただけるよう、強く要望いたします。ご検討のほど、よろしくお願いいたします。",negative,ボットロイヤル仕様,ゲームシステム,プレイヤーが求める練習環境と現在のボットロイヤルの仕様が合致していないため。
66,おすすめ,81,oi,negative,映画化,外部要因・映画化,ゲームの内容よりも、映画化に関する不満を述べているため。
67,おすすめ,34,かみげー,negative,ボリューム不足,ボリューム・価格,「かみげー」という表現から、ゲームの内容が物足りないと感じているため。
68,おすすめ,314,kakinge-,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
69,おすすめ,274,tanosii daaswddasdwas,neutral,不明瞭な表現,その他,意味が理解できないためです。
70,おすすめ,2943,"【王道FPSゲーム！！】

このゲームは各シーズンやスプリットごとに、キャラクター・武器・マップなどのバランス調整が行われます。
そのため、長くプレイしていても新しい発見や体験があり、飽きにくいゲームです。

※レビューが長くなるので、面倒な方は飛ばしてください。

ーーーーーーーーーーーーーーーーーーーーーーーーーーー

【マイナスポイント】

頻繁なアップデートが行われる反面、バグも多く発生します。
もちろん修正はされていますが、新たな不具合が見つかることもあり、修正が追いついていないと感じる場面もあります。

また、人気FPSなだけにプレイヤー数が多く、チーターも以前より減ったとはいえ、まだ遭遇することがあります。

さらに、VC（ボイスチャット）やTC（テキストチャット）で暴言を吐くプレイヤーも少なくありません。
一緒にプレイできる友達がいない場合は、VCやTCをOFFにして遊ぶことをおすすめします。

暴言によってモチベーションが下がり、本来勝てる試合でも実力を発揮できなくなることがあります。

マイナス意見を書きましたが、それ以上に魅力的なポイントもあります。

ーーーーーーーーーーーーーーーーーーーーーーーーーーー

【プラスポイント】

スピード感のある移動と奥深い撃ち合いが魅力のバトルロイヤルゲームです。

スライディングやジップラインを活用した爽快な移動は他のFPSにはない楽しさがあり、単純な撃ち合いだけでなく、立ち回りやチームワークも重要になります。

また、レジェンドごとに異なる能力を持っているため、自分に合ったプレイスタイルを見つけられるのも魅力の一つです。

ピンシステムが非常に優秀で、ボイスチャットを使わなくても味方と連携しやすく、仲間と協力してチャンピオンを目指す達成感は格別です。

基本プレイ無料とは思えないほど完成度が高く、FPS初心者から上級者まで長く楽しめる作品だと思います。

総評としては、不満点もありますが、それでも多くのプレイヤーに愛され続けている理由が分かるFPSゲームです。
気になっている方は、一度プレイしてみる価値があると思います。",positive,スピード感のある移動と奥深い撃ち合い,ゲームシステム,レビューでは、スライディングやジップラインを活用した爽快な移動と、立ち回りやチームワークも重要になる撃ち合いの楽しさを挙げているため。
71,おすすめしない,169,バグが酷いただのゴミゲーなんなら味方は妨害してくるのでまともなゲームではない。,negative,バグ,ゲームシステム,バグが酷く、味方が妨害してくるためゲームにならないと述べている。
72,おすすめしない,29,ラグすぎる,negative,ラグ,ゲームシステム,ラグが問題であるため。
73,おすすめ,283,p,negative,映画化の配役,外部要因・映画化,ゲームをプレイするよりも、映画化の配役について不満を述べているため。
74,おすすめしない,1603,?,negative,映画化の配役,外部要因・映画化,ゲームの内容とは関係なく、映画化の配役について不満を述べているため。
75,おすすめしない,1159,"マッチングしない
久しぶりにapexを起動。懐かしい気持ちになりながら友達2人を誘い、いざランクマッチに出陣！
昔話をしながらマッチング待機していると....おやおやおやマッチングしない
まてど暮らせど一向にマッチしない。
結局３０分かけて一度もマッチしない。
間抜けなゲームだよ。
リリースして５年以上経ってもマッチンングシステムすら整えられない。
ゲーム性以外のところでどれだけ評価を落とせば気が済むのか。
人気がなくなっていくのも納得。
二度とやりません。グッバイお疲れー",negative,マッチングシステム,ゲームシステム,マッチングが30分もできないという、ゲームシステムの不具合を批判しているため。
76,おすすめしない,755,マッチング遅い,negative,マッチング,ゲームシステム,マッチングが遅い点が不満として挙げられているため。
77,おすすめしない,4,"PADだいすきなAPEX運営もPAD使ってるやつもまとめて全員消えろ
普通にチート使ってるのとかわらないだろｗｗｗｗｗ

大会で使用禁止されてるPADがある時点で馬鹿

ジッターマクロとかでBANされるのに
吸いつきエグイコントローラーがBANされない意味が分からん。
まじでつまらねーゲームｗｗｗｗ
これは新規も絶対獲得できないし、大会とかももりあがらねーわ。

昔のAPEXはすげえキャラコンですげえエイムの人たちが戦うのがめっちゃおもろかったのに
今は当てるのは前提でキャラコンは誰もが使えるスーパーグライド（笑)
漁るとき棒立ちで、ぬる～って視点がうごくくっそしょうもないゲームになってらｗｗｗｗ

立派なPC持ってるのにちっさいコントローラー握って
頑張って親指うごかしてるのかっけ～～～～～ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ",negative,チート,ゲームシステム,チートの使用が蔓延しており、公平性が失われているため。
78,おすすめ,1792,"EA Steam 合計3000h プレイしています。ここ一年ぐらいほとんどプレイしていません。
FPSが好きな人には、刺さると思います。最近は、レジェンドが昔より増えてるので、初心者は覚えることが多く大変だと感じます。　
このゲームはコントローラーがとても強く、高ランク帯はpadが多い印象です。私自身、きーまうでマスターに何度も到達してましたが、周りはpadが多かったです。
これから始めて、上を目指す方は、間違いなくpadがおすすめです",positive,コントローラーの強さ,ゲームシステム,高ランク帯ではパッドを使う人が多いという記述から、コントローラー操作に優れていると評価されているため。
79,おすすめしない,541,"な～んもしてないのにBAN❤

最高のゲームです❤",positive,BAN,その他,BANされたことを「最高」と表現しているため。
80,おすすめしない,453,ゴミゲーム,negative,ゴミゲーム,その他,「ゴミゲーム」という表現から、作者はゲーム全体に強い不満を抱いているため。
81,おすすめしない,851,✕,negative,映画化の配役,外部要因・映画化,映画化の配役が気に入らないため。
82,おすすめしない,503,ゴミ箱,negative,ゴミ箱,その他,「ゴミ箱」という表現から、ゲームに対するネガティブな感情が読み取れるため。
83,おすすめしない,324,padでプレイするのを強く勧めますいまさらマウス操作なんて無理ですpadのエイムアシストに頼りましょう,positive,エイムアシスト,ゲームシステム,パッドでのプレイを推奨し、エイムアシストを活用することを提案しているため。
84,おすすめ,464,"プラ２でうろうろしてる雑魚キーマウの意見です
前提としてエイムアシストで気持ちよくなりたいならPAD
キャラコンとかほかのゲームとか上手くなりたいんだったらキーマウ

特にキーマウの人は最初期はPADに余裕で撃ち負けるので頑張って",negative,エイムアシスト,ゲームシステム,エイムアシストを好むプレイヤーに対して、キーマウ操作が有利であると述べているため。
85,おすすめしない,150,便器と話してる方がおもろい,negative,内容,その他,ゲームの内容が面白くないと感じているため。
86,おすすめしない,23,"バトロワもMixtapeも中上級者に蹂躙され続けるだけで何もできないし楽しくない。
射撃場修行をしないとまともに楽しめないFPSゲームなんて初めて見た。",negative,射撃場修行,ゲームシステム,射撃場修行が必要なほど難易度が高いと述べているため。
87,おすすめ,85,クソゲー,negative,クソゲー,その他,「クソゲー」という表現から、ゲームに対するネガティブな感情が強いことがわかるため。
88,おすすめ,832,"54584458883
0",positive,恐怖感,演出・グラフィック,ゲーム内の描写や音声が非常に怖く、精神を揺さぶる体験ができたため。
89,おすすめしない,1696,誤BANされました,negative,誤BAN,外部要因・映画化,ゲームプレイとは関係なく、誤BANされたという不満を述べているため。
90,おすすめしない,552,くそげー,negative,くそげー,その他,「くそげー」という表現から、ゲームに対するネガティブな感情が読み取れるため。
91,おすすめ,1700,ドパガキADHDヒーローシューターバトロワFPS,positive,ドパガキ,その他,「ドパガキ」という表現がポジティブな感情を表しているため。
92,おすすめしない,3971,gomi,negative,映画化,外部要因・映画化,ゲームの内容よりも、映画化に関する不満を述べているため。
93,おすすめ,3,"システムが複雑で自分には難しすぎました。
初心者としてただバトロワゲーとして楽しいです。
あと重いので低スぺだとちょっときついです",neutral,システムの複雑さ,ゲームシステム,システムが複雑すぎて難しいため。
94,おすすめしない,160,4ne,negative,映画化,外部要因・映画化,映画化に期待していたが、ゲームの内容とは関係なく、組織の問題を指摘しているため。
95,おすすめしない,733,サーバーくそすぎる、,negative,サーバー,その他,サーバー性能への不満が表明されているため。
96,おすすめ,1619,1試合の時間のバランスがいい,neutral,バランス,ゲームシステム,1試合の時間の長さが適切であるという記述は、感情的な評価ではなく客観的な事実を述べているため。
97,おすすめしない,1749,トイレでうんこしてたほうが面白い,negative,ボリューム不足,ボリューム・価格,ゲームの内容がつまらないと表現されているため。
98,おすすめしない,21,"結論から言いますが、[h1]このゲームはおすすめできません。（FPS初心者は絶対にこのゲームから始めるな・カジュアル勢も絶対やるな）[/h1]

ゲームを全く触れたことがない人やFPS（ファーストパーソン・シューティングゲーム）をそもそもやったことがない人（初心者）がやるにはかなりのハードルがあります。他のFPSと比べたら知識や意識しなければならないこと（例：味方についていく、アビリティの使い方等）が多く、エイムやリコイルも重要になってくるので、何もできずに死んでしまうとかかなり萎えやすいです。

じゃあ練習したり他のモードで特訓すればいいじゃんとなるんですが、そもそもこのゲームの練習ハードルが高いので上達したと感じる場面は少ないです。過去と比べたら新キャラや新要素も多くなったので、覚えなければならないことも多く、初リリース日から年数が経っているので、上達しているプレイヤーと遭遇しやすく、上級プレイヤーと一緒にやらない限りは中々勝てないでしょう。また、ボットロイヤルも進行時の説明は書かれているのですが、交戦時の敵の動き方が実際の交戦時の動き方ではないのであまり意味はないです。実戦でやるにあたって立ち回り等の知識を取得するインプットができたとしても、実際に行動に起こしてみる（操作して敵に撃ったりする）アウトプットがかなり難しいんじゃないかと個人的には思います。ミックステープやワイルドカードの内容もいいですが、通常のバトルロイヤルと同様に敵プレイヤーが強すぎなために自分自身が上達したとあまり実感できないのでしょう。

過去からそうなのですが、運営（EA）の対応が悪く、ランクでサーバー自体の不具合で切断されただけなのにペナルティを喰らう、サーバーが不安定すぎるなどの不具合も多く、ランクの理不尽なマッチメイキングシステム（ブロンズ帯のプレイヤーとマッチメイキングするはずが、元プレデターのプレイヤーとマッチングをする等）なので、モチベーション次第ではやめたくなると思うでしょう。

もしモチベーションもあって、今時期Apex Legendsを始めたいという方は、難易度が過去と比べてかなり高いということであるということには注意してください。僕はプレイ時間からすれば約2年～3年（EA App版や過去のSteamアカウント、現在使用しているSteamアカウントのプレイ時間を合計すれば）ですが、ハンマーバッジは既に取得済みで、ワイルドカードでハンマーバッジは取れていますが、通常のバトルロイヤルモードでのハンマーバッジは実質取れていません（今までやってきて2000ダメージに達したことがない）。Apex Legendsをやるのであれば、FPSやTPSのある程度の知識を比較的に簡単なCoD（コール・オブ・デューティ）やエイムに自信が無くても貢献できるOW（オーバーウォッチ）、建築要素がありゼロビルドでも多彩なモードがあるフォートナイトなどで取得してからやることをおすすめします。「初心者がやるには断然Apex！」、「他のFPSと比べたらApexは簡単ですよ。」という記事等をよく見ますが、このゲームは理不尽な運営の対応なども全て含めて一言で言えばストレスゲーなので、友達から誘われても断って別ゲーをやる方が良いのかもしれません。（ていうかそもそもEA製ゲームのほとんどがお勧めできないのかも？）",negative,運営の対応,外部要因・映画化,サーバー不具合やマッチメイキングシステムの問題など、運営（EA）の対応が悪く、ストレスを感じやすいゲームであるため。
99,おすすめしない,101,もっとgm,negative,ボリューム不足,ボリューム・価格,「もっとgm」という表現から、ゲームの内容が少なすぎることを示唆しているため。
100,おすすめ,9,みんな強い。生き残れない。厳しいものがある。曲芸、漁夫、高すぎるフィジカル。強いって。厳しいって。,negative,強さ,ゲームシステム,プレイヤーが生き残れないほどの強敵や過酷な難易度を表現しているため。
